gwicid,date,month,SGI
50808,1993-08-31,8,-0.7631217101772683
50808,1993-09-30,9,
50808,1993-10-31,10,
50808,1993-11-30,11,
50808,1993-12-31,12,1.086052043128702
50808,1994-01-31,1,
50808,1994-02-28,2,
50808,1994-03-31,3,0.8413787751008509
50808,1994-04-30,4,
50808,1994-05-31,5,
50808,1994-06-30,6,0.7925518628398296
50808,1994-07-31,7,
50808,1994-08-31,8,
50808,1994-09-30,9,0.7210506836209655
50808,1994-10-31,10,
50808,1994-11-30,11,
50808,1994-12-31,12,0.09551258016434239
50808,1995-01-31,1,
50808,1995-02-28,2,
50808,1995-03-31,3,0.5696610858490752
50808,1995-04-30,4,
50808,1995-05-31,5,
50808,1995-06-30,6,0.8804577013504916
50808,1995-07-31,7,
50808,1995-08-31,8,
50808,1995-09-30,9,1.0490288045042664
50808,1995-10-31,10,
50808,1995-11-30,11,
50808,1995-12-31,12,1.638587115132593
50808,1996-01-31,1,
50808,1996-02-29,2,
50808,1996-03-31,3,1.9967300028324126
50808,1996-04-30,4,
50808,1996-05-31,5,
50808,1996-06-30,6,1.4377213270525777
50808,1996-07-31,7,
50808,1996-08-31,8,
50808,1996-09-30,9,1.3549231422296906
50808,1996-10-31,10,
50808,1996-11-30,11,
50808,1996-12-31,12,0.8225915815730787
50808,1997-01-31,1,
50808,1997-02-28,2,
50808,1997-03-31,3,
50808,1997-04-30,4,
50808,1997-05-31,5,
50808,1997-06-30,6,
50808,1997-07-31,7,
50808,1997-08-31,8,
50808,1997-09-30,9,2.0023525188543116
50808,1997-10-31,10,
50808,1997-11-30,11,
50808,1997-12-31,12,
50808,1998-01-31,1,0.9747585326964229
50808,1998-02-28,2,0.7994574586920277
50808,1998-03-31,3,1.1231288283292513
50808,1998-04-30,4,0.24756799400324891
50808,1998-05-31,5,
50808,1998-06-30,6,0.7988843015546294
50808,1998-07-31,7,0.15491799556026686
50808,1998-08-31,8,-0.25283142013101445
50808,1998-09-30,9,0.9199865750661067
50808,1998-10-31,10,-0.10548534180771729
