gwicid,date,month,SGI
129952,1991-01-31,1,
129952,1991-02-28,2,
129952,1991-03-31,3,
129952,1991-04-30,4,
129952,1991-05-31,5,
129952,1991-06-30,6,
129952,1991-07-31,7,
129952,1991-08-31,8,
129952,1991-09-30,9,
129952,1991-10-31,10,
129952,1991-11-30,11,
129952,1991-12-31,12,
129952,1992-01-31,1,
129952,1992-02-29,2,
129952,1992-03-31,3,
129952,1992-04-30,4,
129952,1992-05-31,5,
129952,1992-06-30,6,
129952,1992-07-31,7,
129952,1992-08-31,8,
129952,1992-09-30,9,
129952,1992-10-31,10,
129952,1992-11-30,11,
129952,1992-12-31,12,
129952,1993-01-31,1,
129952,1993-02-28,2,
129952,1993-03-31,3,
129952,1993-04-30,4,
129952,1993-05-31,5,
129952,1993-06-30,6,
129952,1993-07-31,7,
129952,1993-08-31,8,
129952,1993-09-30,9,
129952,1993-10-31,10,
129952,1993-11-30,11,
129952,1993-12-31,12,
129952,1994-01-31,1,
129952,1994-02-28,2,-1.3977713201596567
129952,1994-03-31,3,
129952,1994-04-30,4,
129952,1994-05-31,5,
129952,1994-06-30,6,
129952,1994-07-31,7,
129952,1994-08-31,8,-1.3299277033258856
129952,1994-09-30,9,
129952,1994-10-31,10,-1.5707389589134075
129952,1994-11-30,11,0.2305588154630569
129952,1994-12-31,12,
129952,1995-01-31,1,
129952,1995-02-28,2,0.7353702909324825
129952,1995-03-31,3,
129952,1995-04-30,4,
129952,1995-05-31,5,-0.4672593344963074
129952,1995-06-30,6,
129952,1995-07-31,7,
129952,1995-08-31,8,
129952,1995-09-30,9,0.4496620201507273
129952,1995-10-31,10,
129952,1995-11-30,11,
129952,1995-12-31,12,
129952,1996-01-31,1,-0.527654192030971
129952,1996-02-29,2,
129952,1996-03-31,3,
129952,1996-04-30,4,-0.0612551994366739
129952,1996-05-31,5,
129952,1996-06-30,6,
129952,1996-07-31,7,-0.9991305552907371
129952,1996-08-31,8,
129952,1996-09-30,9,
129952,1996-10-31,10,0.6109587382967219
129952,1996-11-30,11,
129952,1996-12-31,12,
129952,1997-01-31,1,
129952,1997-02-28,2,0.9576061944427435
129952,1997-03-31,3,
129952,1997-04-30,4,0.7228986282647866
129952,1997-05-31,5,
129952,1997-06-30,6,
129952,1997-07-31,7,0.4092157082018346
129952,1997-08-31,8,
129952,1997-09-30,9,
129952,1997-10-31,10,-0.035412206089465936
129952,1997-11-30,11,
129952,1997-12-31,12,
129952,1998-01-31,1,-0.712768506586983
129952,1998-02-28,2,
129952,1998-03-31,3,
129952,1998-04-30,4,0.8304447576793449
129952,1998-05-31,5,
129952,1998-06-30,6,
129952,1998-07-31,7,-0.16226701669402677
129952,1998-08-31,8,
129952,1998-09-30,9,
129952,1998-10-31,10,
129952,1998-11-30,11,
