gwicid,date,month,SGI
32,1992-10-31,10,-0.021838553075091527
32,1992-11-30,11,
32,1992-12-31,12,
32,1993-01-31,1,
32,1993-02-28,2,
32,1993-03-31,3,
32,1993-04-30,4,
32,1993-05-31,5,
32,1993-06-30,6,0.2528067731842025
32,1993-07-31,7,
32,1993-08-31,8,
32,1993-09-30,9,-0.8690273361958764
32,1993-10-31,10,
32,1993-11-30,11,
32,1993-12-31,12,-0.3656633936882421
32,1994-01-31,1,
32,1994-02-28,2,
32,1994-03-31,3,-0.5930832491016771
32,1994-04-30,4,
32,1994-05-31,5,
32,1994-06-30,6,1.0399218034138396
32,1994-07-31,7,
32,1994-08-31,8,
32,1994-09-30,9,
32,1994-10-31,10,
32,1994-11-30,11,
32,1994-12-31,12,0.3656620668576882
32,1995-01-31,1,
32,1995-02-28,2,
32,1995-03-31,3,0.6741891400433162
32,1995-04-30,4,
32,1995-05-31,5,
32,1995-06-30,6,
32,1995-07-31,7,0.16409048142199079
32,1995-08-31,8,
32,1995-09-30,9,
32,1995-10-31,10,-0.17912474400573708
32,1995-11-30,11,
32,1995-12-31,12,
32,1996-01-31,1,0.3673328081386309
32,1996-02-29,2,
32,1996-03-31,3,
32,1996-04-30,4,0.3848770849965131
32,1996-05-31,5,
32,1996-06-30,6,
32,1996-07-31,7,-0.7791170840269986
32,1996-08-31,8,
32,1996-09-30,9,1.46551579998392
32,1996-10-31,10,
32,1996-11-30,11,
32,1996-12-31,12,
32,1997-01-31,1,1.9496102338273125
32,1997-02-28,2,
32,1997-03-31,3,
32,1997-04-30,4,
32,1997-05-31,5,0.7858383379801693
32,1997-06-30,6,
32,1997-07-31,7,
32,1997-08-31,8,1.367433874073694
32,1997-09-30,9,
32,1997-10-31,10,
32,1997-11-30,11,
32,1997-12-31,12,0.7914320469820622
32,1998-01-31,1,
32,1998-02-28,2,
32,1998-03-31,3,
32,1998-04-30,4,
32,1998-05-31,5,
32,1998-06-30,6,
32,1998-07-31,7,1.9599044600495406
32,1998-08-31,8,
32,1998-09-30,9,
32,1998-10-31,10,0.007045311196927306
32,1998-11-30,11,
32,1998-12-31,12,
32,1999-01-31,1,0.5170808124765709
32,1999-02-28,2,
32,1999-03-31,3,
32,1999-04-30,4,0.06254483635023167
32,1999-05-31,5,
32,1999-06-30,6,
32,1999-07-31,7,-0.9926785870915648
32,1999-08-31,8,
32,1999-09-30,9,
32,1999-10-31,10,-0.7651249784457715
32,1999-11-30,11,
32,1999-12-31,12,
32,2000-01-31,1,-0.7786641741423763
32,2000-02-29,2,
32,2000-03-31,3,
32,2000-04-30,4,-1.4398004696260025
32,2000-05-31,5,
32,2000-06-30,6,
32,2000-07-31,7,0.49949779424309493
32,2000-08-31,8,
32,2000-09-30,9,
32,2000-10-31,10,0.607406850284719
32,2000-11-30,11,
32,2000-12-31,12,
32,2001-01-31,1,1.306128394031979
32,2001-02-28,2,
32,2001-03-31,3,
32,2001-04-30,4,1.150435626267757
32,2001-05-31,5,
32,2001-06-30,6,1.2770938985876197
32,2001-07-31,7,
32,2001-08-31,8,
32,2001-09-30,9,
32,2001-10-31,10,1.4398004696322475
32,2001-11-30,11,
32,2001-12-31,12,
