gwicid,date,month,SGI
9771,1993-07-31,7,1.554821347633737
9771,1993-08-31,8,1.5933509360117335
9771,1993-09-30,9,
9771,1993-10-31,10,
9771,1993-11-30,11,
9771,1993-12-31,12,
9771,1994-01-31,1,
9771,1994-02-28,2,
9771,1994-03-31,3,
9771,1994-04-30,4,
9771,1994-05-31,5,-0.5522796695111796
9771,1994-06-30,6,
9771,1994-07-31,7,
9771,1994-08-31,8,0.05028473878768214
9771,1994-09-30,9,
9771,1994-10-31,10,
9771,1994-11-30,11,0.19326420135505296
9771,1994-12-31,12,
9771,1995-01-31,1,
9771,1995-02-28,2,-1.40136533643269
9771,1995-03-31,3,
9771,1995-04-30,4,
9771,1995-05-31,5,1.6909946211940339
9771,1995-06-30,6,
9771,1995-07-31,7,
9771,1995-08-31,8,
9771,1995-09-30,9,
9771,1995-10-31,10,1.3400304080659273
9771,1995-11-30,11,
9771,1995-12-31,12,
9771,1996-01-31,1,1.3495234325063241
9771,1996-02-29,2,
9771,1996-03-31,3,
9771,1996-04-30,4,1.098736269544829
9771,1996-05-31,5,
9771,1996-06-30,6,
9771,1996-07-31,7,-0.12521033586852104
9771,1996-08-31,8,
9771,1996-09-30,9,
9771,1996-10-31,10,0.680088957196706
9771,1996-11-30,11,
9771,1996-12-31,12,
9771,1997-01-31,1,
9771,1997-02-28,2,
9771,1997-03-31,3,
9771,1997-04-30,4,
9771,1997-05-31,5,
9771,1997-06-30,6,
9771,1997-07-31,7,0.9022372853009865
9771,1997-08-31,8,
9771,1997-09-30,9,
9771,1997-10-31,10,1.4658188143587751
9771,1997-11-30,11,
9771,1997-12-31,12,
9771,1998-01-31,1,
9771,1998-02-28,2,
9771,1998-03-31,3,
9771,1998-04-30,4,1.3703589186173537
9771,1998-05-31,5,
9771,1998-06-30,6,
9771,1998-07-31,7,0.6794938555299728
9771,1998-08-31,8,
9771,1998-09-30,9,
9771,1998-10-31,10,
9771,1998-11-30,11,
9771,1998-12-31,12,
9771,1999-01-31,1,0.7518698008266244
9771,1999-02-28,2,
9771,1999-03-31,3,
