area,end_date,month,SPI
Bitterroot,1991-01-31,1,-0.22515975991011183
Bitterroot,1991-02-28,2,-0.3052915782617547
Bitterroot,1991-03-31,3,-0.45062990310847795
Bitterroot,1991-04-30,4,-0.3669955123951061
Bitterroot,1991-05-31,5,-0.2121771221076867
Bitterroot,1991-06-30,6,0.06708931967797338
Bitterroot,1991-07-31,7,0.20188605104796076
Bitterroot,1991-08-31,8,0.19341483098346712
Bitterroot,1991-09-30,9,0.14352059688034413
Bitterroot,1991-10-31,10,-0.11734651098347326
Bitterroot,1991-11-30,11,0.17519154030495931
Bitterroot,1991-12-31,12,0.0022090399019574214
Bitterroot,1992-01-31,1,-0.259944279993205
Bitterroot,1992-02-29,2,-0.3491129172010936
Bitterroot,1992-03-31,3,-0.49260601749601185
Bitterroot,1992-04-30,4,-0.2855083514870209
Bitterroot,1992-05-31,5,-0.45161833587260825
Bitterroot,1992-06-30,6,-0.40900736224421785
Bitterroot,1992-07-31,7,-0.5133813515994485
Bitterroot,1992-08-31,8,-0.356320760682163
Bitterroot,1992-09-30,9,-0.37811800708801724
Bitterroot,1992-10-31,10,-0.3513367350265757
Bitterroot,1992-11-30,11,-0.5163442169831067
Bitterroot,1992-12-31,12,-0.43102341595957916
Bitterroot,1993-01-31,1,-0.6188082067908254
Bitterroot,1993-02-28,2,-0.7061822125387646
Bitterroot,1993-03-31,3,-0.7424513741991323
Bitterroot,1993-04-30,4,-0.8058195784351966
Bitterroot,1993-05-31,5,-0.7755715928634911
Bitterroot,1993-06-30,6,-0.42370288958782654
Bitterroot,1993-07-31,7,-0.2533341135671603
Bitterroot,1993-08-31,8,0.06185483302173811
Bitterroot,1993-09-30,9,-0.18808671496479024
Bitterroot,1993-10-31,10,-0.35329825235497614
Bitterroot,1993-11-30,11,-0.46823782722762486
Bitterroot,1993-12-31,12,-0.8295807272458406
Bitterroot,1994-01-31,1,-0.9484684681364116
Bitterroot,1994-02-28,2,-0.7662670695101467
Bitterroot,1994-03-31,3,-0.937015311853333
Bitterroot,1994-04-30,4,-1.0411143843032886
Bitterroot,1994-05-31,5,-0.9584992824365528
Bitterroot,1994-06-30,6,-1.1511985488461651
Bitterroot,1994-07-31,7,-1.2322752536203931
Bitterroot,1994-08-31,8,-1.2074737871094796
Bitterroot,1994-09-30,9,-1.2159388127628685
Bitterroot,1994-10-31,10,-1.0126457964557745
Bitterroot,1994-11-30,11,-0.8692014633203679
Bitterroot,1994-12-31,12,-1.1422342106255223
Bitterroot,1995-01-31,1,-1.3200322469806005
Bitterroot,1995-02-28,2,-1.331996014047323
Bitterroot,1995-03-31,3,-1.2436742697463015
Bitterroot,1995-04-30,4,-1.1488543357097023
Bitterroot,1995-05-31,5,-1.1437333432598162
Bitterroot,1995-06-30,6,-0.9553269429687875
Bitterroot,1995-07-31,7,-1.0923694013701293
Bitterroot,1995-08-31,8,-1.0303399124292036
Bitterroot,1995-09-30,9,-0.6360581689640556
Bitterroot,1995-10-31,10,-0.37005893981787796
Bitterroot,1995-11-30,11,0.4667188345387068
Bitterroot,1995-12-31,12,0.32450416255837045
Bitterroot,1996-01-31,1,0.7416473277291376
Bitterroot,1996-02-29,2,1.0278241436883773
Bitterroot,1996-03-31,3,0.7692961351938606
Bitterroot,1996-04-30,4,0.9575052852847915
Bitterroot,1996-05-31,5,1.0249856556048602
Bitterroot,1996-06-30,6,0.9507789094315369
Bitterroot,1996-07-31,7,0.9239982090543883
Bitterroot,1996-08-31,8,0.9114191456206594
Bitterroot,1996-09-30,9,1.0616717230727726
Bitterroot,1996-10-31,10,1.279497288089407
Bitterroot,1996-11-30,11,1.336503063492673
Bitterroot,1996-12-31,12,1.724966820231657
Bitterroot,1997-01-31,1,1.8290918011018902
Bitterroot,1997-02-28,2,1.554388766134689
Bitterroot,1997-03-31,3,1.5230286478378043
Bitterroot,1997-04-30,4,1.450197547695637
Bitterroot,1997-05-31,5,1.4811371409571599
Bitterroot,1997-06-30,6,1.5120502536728553
Bitterroot,1997-07-31,7,1.961258069874817
Bitterroot,1997-08-31,8,2.268017896687378
Bitterroot,1997-09-30,9,2.329077467573163
Bitterroot,1997-10-31,10,2.4883476666219906
Bitterroot,1997-11-30,11,2.4577933753656107
Bitterroot,1997-12-31,12,2.3788468611419793
Bitterroot,1998-01-31,1,2.3565340524177216
Bitterroot,1998-02-28,2,2.102060291516879
Bitterroot,1998-03-31,3,2.101127329689226
Bitterroot,1998-04-30,4,2.1867049999582067
Bitterroot,1998-05-31,5,2.4015242964779038
Bitterroot,1998-06-30,6,2.481017869378137
Bitterroot,1998-07-31,7,2.6050986203768955
Bitterroot,1998-08-31,8,2.722391222076883
Bitterroot,1998-09-30,9,2.9605327378366697
Bitterroot,1998-10-31,10,2.9225268812133995
Bitterroot,1998-11-30,11,3.0070558130398606
Bitterroot,1998-12-31,12,3.291640439686313
Bitterroot,1999-01-31,1,3.2163245416133974
Bitterroot,1999-02-28,2,3.1697395097737138
Bitterroot,1999-03-31,3,3.0214536339338363
Bitterroot,1999-04-30,4,2.820678780460997
Bitterroot,1999-05-31,5,2.6943551952963554
Bitterroot,1999-06-30,6,2.514661353795031
Bitterroot,1999-07-31,7,2.0051098682151993
Bitterroot,1999-08-31,8,2.189290576952726
Bitterroot,1999-09-30,9,1.8657647612213597
Bitterroot,1999-10-31,10,1.4710232251598723
Bitterroot,1999-11-30,11,1.6182030766453412
Bitterroot,1999-12-31,12,1.586193231327722
Bitterroot,2000-01-31,1,1.409976542055535
Bitterroot,2000-02-29,2,1.4604685902137993
Bitterroot,2000-03-31,3,1.5007289320177781
Bitterroot,2000-04-30,4,1.3572487984498411
Bitterroot,2000-05-31,5,1.3378212929324902
Bitterroot,2000-06-30,6,1.1493620337632724
Bitterroot,2000-07-31,7,1.0642734151959083
Bitterroot,2000-08-31,8,0.5274340030756164
Bitterroot,2000-09-30,9,0.4672878313291664
Bitterroot,2000-10-31,10,0.5765282119046407
Bitterroot,2000-11-30,11,0.17013286339553613
Bitterroot,2000-12-31,12,-0.09132859775418889
Bitterroot,2001-01-31,1,-0.31664113206408695
Bitterroot,2001-02-28,2,-0.4583359191849081
Bitterroot,2001-03-31,3,-0.701343600560195
Bitterroot,2001-04-30,4,-0.7398755279984707
Bitterroot,2001-05-31,5,-0.9627895214482209
Bitterroot,2001-06-30,6,-0.9509707502527012
Bitterroot,2001-07-31,7,-0.778923802065169
Bitterroot,2001-08-31,8,-0.7111868380103213
