area,end_date,month,SPI
Bitterroot,1991-01-31,1,0.09713129992846525
Bitterroot,1991-02-28,2,-0.31605168217911817
Bitterroot,1991-03-31,3,-0.488155501006037
Bitterroot,1991-04-30,4,-0.14546396323690503
Bitterroot,1991-05-31,5,-0.3809371717663186
Bitterroot,1991-06-30,6,-0.48554016642150355
Bitterroot,1991-07-31,7,-0.40295427198455536
Bitterroot,1991-08-31,8,-0.3149462773678673
Bitterroot,1991-09-30,9,0.024499658640298128
Bitterroot,1991-10-31,10,-0.428170237306841
Bitterroot,1991-11-30,11,0.5116364169381202
Bitterroot,1991-12-31,12,0.18225900096938674
Bitterroot,1992-01-31,1,-0.5908288909623856
Bitterroot,1992-02-29,2,-0.6590426432880512
Bitterroot,1992-03-31,3,-0.9408297407536396
Bitterroot,1992-04-30,4,-0.6509208272883569
Bitterroot,1992-05-31,5,-0.6945314638479012
Bitterroot,1992-06-30,6,-1.658260661797001
Bitterroot,1992-07-31,7,-1.3669299053013257
Bitterroot,1992-08-31,8,-0.9051955236238629
Bitterroot,1992-09-30,9,-0.10920652583170609
Bitterroot,1992-10-31,10,0.2780479587148519
Bitterroot,1992-11-30,11,-0.1334337628633291
Bitterroot,1992-12-31,12,0.6003395143993151
Bitterroot,1993-01-31,1,0.20783225329935306
Bitterroot,1993-02-28,2,-0.5960800894703651
Bitterroot,1993-03-31,3,-0.49559954321719557
Bitterroot,1993-04-30,4,-0.4654609547908162
Bitterroot,1993-05-31,5,-0.32923392071163327
Bitterroot,1993-06-30,6,0.15114552633555367
Bitterroot,1993-07-31,7,0.6404383222103807
Bitterroot,1993-08-31,8,1.439752255681729
Bitterroot,1993-09-30,9,1.8911116285992207
Bitterroot,1993-10-31,10,1.7851653969961245
Bitterroot,1993-11-30,11,0.5618651813729927
Bitterroot,1993-12-31,12,-0.08636520864020913
Bitterroot,1994-01-31,1,-0.8025461135075885
Bitterroot,1994-02-28,2,-1.2036878897931071
Bitterroot,1994-03-31,3,-1.6024496743660896
Bitterroot,1994-04-30,4,-1.4712716186553512
Bitterroot,1994-05-31,5,-1.2862197201466636
Bitterroot,1994-06-30,6,-0.7764505762343089
Bitterroot,1994-07-31,7,-0.3203202806296235
Bitterroot,1994-08-31,8,-0.5950593582179502
Bitterroot,1994-09-30,9,-1.212953836760978
Bitterroot,1994-10-31,10,-0.440784399838579
Bitterroot,1994-11-30,11,-0.18483193458304537
Bitterroot,1994-12-31,12,-0.5769809720984731
