area,end_date,month,SPI
Bitterroot,1991-01-31,1,0.1586307407819636
Bitterroot,1991-02-28,2,0.06307530251815807
Bitterroot,1991-03-31,3,0.08166031965940768
Bitterroot,1991-04-30,4,0.2547342340323264
Bitterroot,1991-05-31,5,0.004059579049254136
Bitterroot,1991-06-30,6,0.2557728118130722
Bitterroot,1991-07-31,7,-0.009260668976152076
Bitterroot,1991-08-31,8,0.16164169879749446
Bitterroot,1991-09-30,9,-0.09448816513286173
Bitterroot,1991-10-31,10,-0.20900436725482985
Bitterroot,1991-11-30,11,0.11344136888436696
Bitterroot,1991-12-31,12,0.1394882411454248
Bitterroot,1992-01-31,1,-0.15389302741229383
Bitterroot,1992-02-29,2,-0.5840556865902928
Bitterroot,1992-03-31,3,-0.7735905612053511
Bitterroot,1992-04-30,4,-0.5336067235384163
Bitterroot,1992-05-31,5,-0.8339330172320744
Bitterroot,1992-06-30,6,-0.6703230590113347
Bitterroot,1992-07-31,7,-0.6908929575757456
Bitterroot,1992-08-31,8,-0.774250216025764
Bitterroot,1992-09-30,9,-0.4021132285184179
Bitterroot,1992-10-31,10,-0.6430811235880223
Bitterroot,1992-11-30,11,-0.8458660379867814
Bitterroot,1992-12-31,12,-0.6120421410551562
Bitterroot,1993-01-31,1,-0.812667899653673
Bitterroot,1993-02-28,2,-1.1272377377715772
Bitterroot,1993-03-31,3,-1.0504833647038634
Bitterroot,1993-04-30,4,-1.147311391459
Bitterroot,1993-05-31,5,-1.243950362433045
Bitterroot,1993-06-30,6,-0.7719301330597762
Bitterroot,1993-07-31,7,-0.3427655124103175
Bitterroot,1993-08-31,8,0.04193352838401743
Bitterroot,1993-09-30,9,-0.03279423200239462
Bitterroot,1993-10-31,10,-0.21551250040004
Bitterroot,1993-11-30,11,-0.6105823922012383
Bitterroot,1993-12-31,12,-0.9467608971197182
Bitterroot,1994-01-31,1,-0.8838500583773252
Bitterroot,1994-02-28,2,-0.7715818446757657
Bitterroot,1994-03-31,3,-0.9260276719726919
Bitterroot,1994-04-30,4,-0.7990102585124516
Bitterroot,1994-05-31,5,-1.2172246590436604
Bitterroot,1994-06-30,6,-1.1969712312706493
Bitterroot,1994-07-31,7,-0.913357693444688
Bitterroot,1994-08-31,8,-0.8270558280616879
Bitterroot,1994-09-30,9,-0.634615725050363
Bitterroot,1994-10-31,10,-0.7081555729880707
Bitterroot,1994-11-30,11,-0.35014123775716444
Bitterroot,1994-12-31,12,-0.4691402101267361
Bitterroot,1995-01-31,1,-0.9534136908479205
Bitterroot,1995-02-28,2,-0.9061083601565156
Bitterroot,1995-03-31,3,-1.058587874885789
Bitterroot,1995-04-30,4,-0.9215776755257695
Bitterroot,1995-05-31,5,-0.880716656296143
Bitterroot,1995-06-30,6,-0.9121640455913458
Bitterroot,1995-07-31,7,-0.45047206775466253
Bitterroot,1995-08-31,8,-0.18108227062442617
Bitterroot,1995-09-30,9,0.0130434725357651
Bitterroot,1995-10-31,10,-0.011980912466617255
Bitterroot,1995-11-30,11,0.7291550754203914
Bitterroot,1995-12-31,12,0.3861483670836703
Bitterroot,1996-01-31,1,0.3470647463561267
Bitterroot,1996-02-29,2,0.5455315569778136
Bitterroot,1996-03-31,3,0.4833863350421086
Bitterroot,1996-04-30,4,0.7945412951951658
Bitterroot,1996-05-31,5,1.341774913822194
Bitterroot,1996-06-30,6,1.475036075904557
Bitterroot,1996-07-31,7,1.4629096245770905
Bitterroot,1996-08-31,8,1.419279333619379
Bitterroot,1996-09-30,9,1.5590833653148373
Bitterroot,1996-10-31,10,1.6364749264823115
Bitterroot,1996-11-30,11,1.681914578342747
Bitterroot,1996-12-31,12,2.1549516529072332
