area,end_date,month,SPI
Bitterroot,1991-01-31,1,0.028312964688745668
Bitterroot,1991-02-28,2,-0.054964584713843134
Bitterroot,1991-03-31,3,-0.1798701844762911
Bitterroot,1991-04-30,4,0.17996863331107016
Bitterroot,1991-05-31,5,-0.020018709589247674
Bitterroot,1991-06-30,6,-0.060647467429119306
Bitterroot,1991-07-31,7,0.05085233733639005
Bitterroot,1991-08-31,8,-0.07195278360901769
Bitterroot,1991-09-30,9,-0.46442808622815446
Bitterroot,1991-10-31,10,-0.5063763608071272
Bitterroot,1991-11-30,11,0.08538953164302332
Bitterroot,1991-12-31,12,-0.16845775524007767
Bitterroot,1992-01-31,1,-0.3270254325015016
Bitterroot,1992-02-29,2,-0.8149359278982907
Bitterroot,1992-03-31,3,-1.2746599391919395
Bitterroot,1992-04-30,4,-0.9470765427745437
Bitterroot,1992-05-31,5,-1.075531901121328
Bitterroot,1992-06-30,6,-0.9147118442455375
Bitterroot,1992-07-31,7,-0.6284060946890315
Bitterroot,1992-08-31,8,-0.7607109577320619
Bitterroot,1992-09-30,9,-0.6649110064497863
Bitterroot,1992-10-31,10,-0.955672244368536
Bitterroot,1992-11-30,11,-0.7510181565777494
Bitterroot,1992-12-31,12,-0.574652048127974
Bitterroot,1993-01-31,1,-0.7087102414793307
Bitterroot,1993-02-28,2,-0.7501502699701326
Bitterroot,1993-03-31,3,-1.3168466468295992
Bitterroot,1993-04-30,4,-1.0987482079646425
Bitterroot,1993-05-31,5,-0.7669093761495661
Bitterroot,1993-06-30,6,-0.17171553023928432
Bitterroot,1993-07-31,7,0.5931933040942814
Bitterroot,1993-08-31,8,0.6730353040228064
Bitterroot,1993-09-30,9,0.8523482896263639
Bitterroot,1993-10-31,10,0.7843235273204062
Bitterroot,1993-11-30,11,0.027341989273485856
Bitterroot,1993-12-31,12,-0.31218833960254155
Bitterroot,1994-01-31,1,-0.5131737008976498
Bitterroot,1994-02-28,2,-0.30799305271098
Bitterroot,1994-03-31,3,-0.48113538763400654
Bitterroot,1994-04-30,4,-0.6031600949734071
Bitterroot,1994-05-31,5,-0.38873153499394575
Bitterroot,1994-06-30,6,-0.158535891987442
Bitterroot,1994-07-31,7,-0.12548798109930837
Bitterroot,1994-08-31,8,-0.5215026085625316
Bitterroot,1994-09-30,9,-0.6556204181309117
Bitterroot,1994-10-31,10,-0.9781728942254202
Bitterroot,1994-11-30,11,-1.184665342891364
Bitterroot,1994-12-31,12,-1.5317770609830008
Bitterroot,1995-01-31,1,-1.7331991034965621
Bitterroot,1995-02-28,2,-1.580700693701239
Bitterroot,1995-03-31,3,-1.09682180859658
Bitterroot,1995-04-30,4,-0.7165587276515587
Bitterroot,1995-05-31,5,-0.6941947103366295
Bitterroot,1995-06-30,6,-0.7300275275579787
Bitterroot,1995-07-31,7,-0.12918653267963065
Bitterroot,1995-08-31,8,-0.05739994183574959
Bitterroot,1995-09-30,9,0.18165994699874788
Bitterroot,1995-10-31,10,0.40724978300919434
Bitterroot,1995-11-30,11,1.2134834114527053
Bitterroot,1995-12-31,12,1.197212409733061
Bitterroot,1996-01-31,1,1.6215180725957397
Bitterroot,1996-02-29,2,1.8529752205822931
Bitterroot,1996-03-31,3,1.6490394144978902
Bitterroot,1996-04-30,4,2.212058898094525
Bitterroot,1996-05-31,5,2.6341460476446636
Bitterroot,1996-06-30,6,2.606288101371492
Bitterroot,1996-07-31,7,2.4839984217582955
Bitterroot,1996-08-31,8,2.518248800666311
Bitterroot,1996-09-30,9,2.649361968218521
Bitterroot,1996-10-31,10,2.629596965662709
Bitterroot,1996-11-30,11,2.210603082077794
Bitterroot,1996-12-31,12,2.5864044254797376
Bitterroot,1997-01-31,1,2.5806233222177397
Bitterroot,1997-02-28,2,2.362348190533156
Bitterroot,1997-03-31,3,1.9695674715432954
Bitterroot,1997-04-30,4,2.269101963008984
Bitterroot,1997-05-31,5,1.8261321294256119
Bitterroot,1997-06-30,6,1.496430528921999
Bitterroot,1997-07-31,7,1.923955192077644
