gwicid,date,daily_average,method,agency
135735,1951-12-07,10.57,DAILY AVERAGE,MBMG
135735,1952-01-01,11.86,DAILY AVERAGE,MBMG
135735,1952-02-01,13.33,DAILY AVERAGE,MBMG
135735,1952-03-01,14.34,DAILY AVERAGE,MBMG
135735,1952-03-27,15.11,DAILY AVERAGE,MBMG
135735,1952-05-01,13.88,DAILY AVERAGE,MBMG
135735,1952-06-02,11.89,DAILY AVERAGE,MBMG
135735,1952-07-01,7.8,DAILY AVERAGE,MBMG
135735,1952-08-01,6.84,DAILY AVERAGE,MBMG
135735,1952-08-06,5.92,DAILY AVERAGE,MBMG
135735,1952-09-01,7.77,DAILY AVERAGE,MBMG
135735,1952-10-01,8.0,DAILY AVERAGE,MBMG
135735,1952-11-01,8.49,DAILY AVERAGE,MBMG
135735,1952-12-01,9.56,DAILY AVERAGE,MBMG
135735,1953-01-01,11.31,DAILY AVERAGE,MBMG
135735,1953-02-01,12.63,DAILY AVERAGE,MBMG
135735,1953-03-01,13.87,DAILY AVERAGE,MBMG
135735,1953-04-01,14.73,DAILY AVERAGE,MBMG
135735,1953-04-24,15.27,DAILY AVERAGE,MBMG
135735,1953-05-01,15.06,DAILY AVERAGE,MBMG
135735,1953-06-01,11.69,DAILY AVERAGE,MBMG
135735,1953-07-03,8.56,DAILY AVERAGE,MBMG
135735,1953-08-18,6.48,DAILY AVERAGE,MBMG
135735,1953-09-01,7.45,DAILY AVERAGE,MBMG
135735,1953-10-01,8.22,DAILY AVERAGE,MBMG
135735,1953-12-01,9.19,DAILY AVERAGE,MBMG
135735,1954-01-01,11.08,DAILY AVERAGE,MBMG
135735,1954-02-01,12.64,DAILY AVERAGE,MBMG
135735,1954-03-01,13.6,DAILY AVERAGE,MBMG
135735,1954-04-17,14.73,DAILY AVERAGE,MBMG
135735,1963-02-06,11.9,DAILY AVERAGE,MBMG
135735,1963-03-07,14.5,DAILY AVERAGE,MBMG
135735,1963-04-10,14.3,DAILY AVERAGE,MBMG
135735,1963-05-05,14.6,DAILY AVERAGE,MBMG
135735,1963-06-19,10.6,DAILY AVERAGE,MBMG
135735,1963-07-15,7.85,DAILY AVERAGE,MBMG
135735,1963-10-11,10.2,DAILY AVERAGE,MBMG
135735,1963-11-09,10.32,DAILY AVERAGE,MBMG
135735,1963-12-11,11.82,DAILY AVERAGE,MBMG
135735,1964-01-04,12.82,DAILY AVERAGE,MBMG
135735,1964-02-01,13.95,DAILY AVERAGE,MBMG
135735,1964-03-10,14.6,DAILY AVERAGE,MBMG
135735,1964-03-28,14.97,DAILY AVERAGE,MBMG
135735,1964-04-29,14.97,DAILY AVERAGE,MBMG
135735,1964-06-04,12.75,DAILY AVERAGE,MBMG
135735,1964-06-28,10.15,DAILY AVERAGE,MBMG
135735,1964-08-29,8.1,DAILY AVERAGE,MBMG
135735,1964-10-03,8.82,DAILY AVERAGE,MBMG
135735,1964-10-31,9.87,DAILY AVERAGE,MBMG
135735,1965-01-08,12.94,DAILY AVERAGE,MBMG
135735,1965-02-04,14.03,DAILY AVERAGE,MBMG
135735,1965-03-06,14.93,DAILY AVERAGE,MBMG
135735,1965-04-16,15.9,DAILY AVERAGE,MBMG
135735,1965-05-30,13.31,DAILY AVERAGE,MBMG
135735,1965-07-02,10.42,DAILY AVERAGE,MBMG
135735,1965-08-01,8.01,DAILY AVERAGE,MBMG
135735,1965-08-23,7.57,DAILY AVERAGE,MBMG
135735,1965-09-04,8.88,DAILY AVERAGE,MBMG
135735,1965-10-02,9.1,DAILY AVERAGE,MBMG
135735,1965-10-30,9.55,DAILY AVERAGE,MBMG
135735,1965-12-03,10.0,DAILY AVERAGE,MBMG
135735,1966-01-05,12.09,DAILY AVERAGE,MBMG
135735,1966-02-01,13.46,DAILY AVERAGE,MBMG
135735,1966-03-04,14.76,DAILY AVERAGE,MBMG
135735,1966-04-02,15.39,DAILY AVERAGE,MBMG
135735,1966-05-04,15.09,DAILY AVERAGE,MBMG
135735,1966-06-11,9.75,DAILY AVERAGE,MBMG
135735,1966-07-02,7.62,DAILY AVERAGE,MBMG
135735,1966-09-03,8.57,DAILY AVERAGE,MBMG
135735,1966-10-03,9.25,DAILY AVERAGE,MBMG
135735,1966-12-09,12.22,DAILY AVERAGE,MBMG
135735,1967-02-10,14.32,DAILY AVERAGE,MBMG
135735,1967-04-03,15.64,DAILY AVERAGE,MBMG
135735,1967-06-24,9.63,DAILY AVERAGE,MBMG
135735,1967-07-17,9.14,DAILY AVERAGE,MBMG
135735,1967-08-05,7.58,DAILY AVERAGE,MBMG
135735,1967-10-06,7.89,DAILY AVERAGE,MBMG
135735,1967-12-08,11.21,DAILY AVERAGE,MBMG
135735,1968-03-01,13.25,DAILY AVERAGE,MBMG
135735,1968-04-10,14.66,DAILY AVERAGE,MBMG
135735,1968-06-05,11.06,DAILY AVERAGE,MBMG
135735,1968-08-26,6.26,DAILY AVERAGE,MBMG
135735,1968-11-08,8.81,DAILY AVERAGE,MBMG
135735,1969-04-11,13.71,DAILY AVERAGE,MBMG
135735,1969-05-26,8.2,DAILY AVERAGE,MBMG
