gwicid,date,daily_average,method,agency
91434,2015-05-12,153.83,DAILY AVERAGE,MBMG
91434,2015-07-12,161.46,DAILY AVERAGE,MBMG
91434,2015-07-13,160.42,DAILY AVERAGE,MBMG
91434,2015-07-14,159.56,DAILY AVERAGE,MBMG
91434,2015-07-15,159.75,DAILY AVERAGE,MBMG
91434,2015-07-16,160.07,DAILY AVERAGE,MBMG
91434,2015-07-17,160.61,DAILY AVERAGE,MBMG
91434,2015-07-18,161.58,DAILY AVERAGE,MBMG
91434,2015-07-19,161.5,DAILY AVERAGE,MBMG
91434,2015-07-20,161.94,DAILY AVERAGE,MBMG
91434,2015-07-21,161.61,DAILY AVERAGE,MBMG
91434,2015-07-22,160.41,DAILY AVERAGE,MBMG
91434,2015-07-23,160.41,DAILY AVERAGE,MBMG
91434,2015-07-24,159.96,DAILY AVERAGE,MBMG
91434,2015-07-25,160.28,DAILY AVERAGE,MBMG
91434,2015-07-26,160.73,DAILY AVERAGE,MBMG
91434,2015-07-27,160.92,DAILY AVERAGE,MBMG
91434,2015-07-28,160.53,DAILY AVERAGE,MBMG
91434,2015-07-29,160.66,DAILY AVERAGE,MBMG
91434,2015-07-30,160.41,DAILY AVERAGE,MBMG
91434,2015-07-31,160.58,DAILY AVERAGE,MBMG
91434,2015-08-01,161.4,DAILY AVERAGE,MBMG
91434,2015-08-02,161.35,DAILY AVERAGE,MBMG
91434,2015-08-03,161.98,DAILY AVERAGE,MBMG
91434,2015-08-04,161.86,DAILY AVERAGE,MBMG
91434,2015-08-05,161.85,DAILY AVERAGE,MBMG
91434,2015-08-06,161.33,DAILY AVERAGE,MBMG
91434,2015-08-07,161.26,DAILY AVERAGE,MBMG
91434,2015-08-08,161.32,DAILY AVERAGE,MBMG
91434,2015-08-09,161.57,DAILY AVERAGE,MBMG
91434,2015-08-10,161.83,DAILY AVERAGE,MBMG
91434,2015-08-11,161.85,DAILY AVERAGE,MBMG
91434,2015-08-12,162.65,DAILY AVERAGE,MBMG
91434,2015-08-13,162.11,DAILY AVERAGE,MBMG
91434,2015-08-14,161.88,DAILY AVERAGE,MBMG
91434,2015-08-15,162.29,DAILY AVERAGE,MBMG
91434,2015-08-16,162.46,DAILY AVERAGE,MBMG
91434,2015-08-17,162.24,DAILY AVERAGE,MBMG
91434,2015-08-18,161.79,DAILY AVERAGE,MBMG
91434,2015-08-19,162.15,DAILY AVERAGE,MBMG
91434,2015-08-20,162.95,DAILY AVERAGE,MBMG
91434,2015-08-21,162.81,DAILY AVERAGE,MBMG
91434,2015-08-22,163.04,DAILY AVERAGE,MBMG
91434,2015-08-23,162.94,DAILY AVERAGE,MBMG
91434,2015-08-24,163.1,DAILY AVERAGE,MBMG
91434,2015-08-25,163.29,DAILY AVERAGE,MBMG
91434,2015-08-26,163.25,DAILY AVERAGE,MBMG
