gwicid,date,daily_average,method,agency
7272,2013-09-17,-1.77,DAILY AVERAGE,MBMG
7272,2013-10-10,-1.84,DAILY AVERAGE,MBMG
7272,2013-11-14,-1.96,DAILY AVERAGE,MBMG
7272,2013-12-11,-2.04,DAILY AVERAGE,MBMG
7272,2014-01-07,-2.08,DAILY AVERAGE,MBMG
7272,2014-01-21,95.67,DAILY AVERAGE,MBMG
7272,2014-03-10,-2.12,DAILY AVERAGE,MBMG
