gwicid,date,daily_average,method,agency
136970,1956-04-18,91.76,DAILY AVERAGE,MBMG
136970,1956-05-07,92.38,DAILY AVERAGE,MBMG
136970,1956-06-05,93.2,DAILY AVERAGE,MBMG
136970,1956-07-06,94.16,DAILY AVERAGE,MBMG
136970,1956-08-06,92.63,DAILY AVERAGE,MBMG
136970,1956-09-10,89.34,DAILY AVERAGE,MBMG
136970,1956-10-01,87.68,DAILY AVERAGE,MBMG
136970,1956-11-06,85.74,DAILY AVERAGE,MBMG
136970,1956-12-05,83.51,DAILY AVERAGE,MBMG
136970,1957-03-11,84.65,DAILY AVERAGE,MBMG
136970,1957-04-12,86.36,DAILY AVERAGE,MBMG
136970,1957-04-30,87.66,DAILY AVERAGE,MBMG
136970,1957-06-11,89.8,DAILY AVERAGE,MBMG
136970,1957-07-05,89.49,DAILY AVERAGE,MBMG
136970,1957-08-13,88.72,DAILY AVERAGE,MBMG
136970,1957-09-13,87.5,DAILY AVERAGE,MBMG
136970,1957-10-04,86.63,DAILY AVERAGE,MBMG
136970,1957-11-06,85.31,DAILY AVERAGE,MBMG
136970,1957-12-06,84.44,DAILY AVERAGE,MBMG
136970,1958-01-13,84.66,DAILY AVERAGE,MBMG
136970,1958-02-03,84.97,DAILY AVERAGE,MBMG
136970,1958-03-10,87.08,DAILY AVERAGE,MBMG
136970,1958-04-02,88.37,DAILY AVERAGE,MBMG
136970,1958-05-16,90.88,DAILY AVERAGE,MBMG
136970,1958-05-30,92.03,DAILY AVERAGE,MBMG
136970,1958-06-20,92.8,DAILY AVERAGE,MBMG
136970,1958-06-28,92.69,DAILY AVERAGE,MBMG
136970,1958-07-03,93.05,DAILY AVERAGE,MBMG
136970,1958-07-11,94.04,DAILY AVERAGE,MBMG
136970,1958-07-17,94.03,DAILY AVERAGE,MBMG
136970,1958-07-25,93.27,DAILY AVERAGE,MBMG
136970,1958-08-01,92.98,DAILY AVERAGE,MBMG
136970,1958-08-08,92.47,DAILY AVERAGE,MBMG
136970,1958-08-15,92.17,DAILY AVERAGE,MBMG
136970,1958-08-22,91.8,DAILY AVERAGE,MBMG
136970,1958-08-29,91.06,DAILY AVERAGE,MBMG
136970,1958-09-05,90.68,DAILY AVERAGE,MBMG
136970,1958-09-12,89.7,DAILY AVERAGE,MBMG
136970,1958-09-19,89.57,DAILY AVERAGE,MBMG
136970,1958-09-26,89.63,DAILY AVERAGE,MBMG
136970,1958-10-03,89.25,DAILY AVERAGE,MBMG
136970,1958-10-10,88.85,DAILY AVERAGE,MBMG
136970,1958-10-17,88.21,DAILY AVERAGE,MBMG
136970,1958-10-31,87.7,DAILY AVERAGE,MBMG
136970,1958-11-07,87.79,DAILY AVERAGE,MBMG
136970,1958-11-14,87.47,DAILY AVERAGE,MBMG
136970,1958-11-24,87.0,DAILY AVERAGE,MBMG
136970,1958-11-28,87.52,DAILY AVERAGE,MBMG
136970,1958-12-05,88.26,DAILY AVERAGE,MBMG
136970,1958-12-12,87.17,DAILY AVERAGE,MBMG
136970,1958-12-19,87.04,DAILY AVERAGE,MBMG
136970,1958-12-26,87.62,DAILY AVERAGE,MBMG
136970,1959-01-02,86.92,DAILY AVERAGE,MBMG
136970,1959-01-09,87.18,DAILY AVERAGE,MBMG
136970,1959-01-23,87.31,DAILY AVERAGE,MBMG
136970,1959-01-30,88.48,DAILY AVERAGE,MBMG
136970,1959-02-06,87.63,DAILY AVERAGE,MBMG
136970,1959-02-13,88.59,DAILY AVERAGE,MBMG
136970,1959-02-20,89.3,DAILY AVERAGE,MBMG
136970,1959-02-27,88.83,DAILY AVERAGE,MBMG
136970,1959-03-20,89.88,DAILY AVERAGE,MBMG
136970,1959-03-27,90.01,DAILY AVERAGE,MBMG
136970,1959-04-02,90.7,DAILY AVERAGE,MBMG
136970,1959-04-17,91.47,DAILY AVERAGE,MBMG
136970,1959-04-24,91.19,DAILY AVERAGE,MBMG
136970,1959-05-15,92.37,DAILY AVERAGE,MBMG
136970,1959-05-22,93.17,DAILY AVERAGE,MBMG
136970,1959-06-12,94.06,DAILY AVERAGE,MBMG
136970,1959-06-19,94.5,DAILY AVERAGE,MBMG
136970,1959-06-26,94.64,DAILY AVERAGE,MBMG
136970,1959-07-10,95.49,DAILY AVERAGE,MBMG
136970,1959-07-17,95.65,DAILY AVERAGE,MBMG
136970,1959-07-23,95.7,DAILY AVERAGE,MBMG
136970,1959-07-31,95.83,DAILY AVERAGE,MBMG
136970,1959-08-07,95.73,DAILY AVERAGE,MBMG
136970,1959-08-21,94.9,DAILY AVERAGE,MBMG
136970,1959-08-28,95.01,DAILY AVERAGE,MBMG
136970,1959-09-04,94.47,DAILY AVERAGE,MBMG
136970,1959-09-18,93.76,DAILY AVERAGE,MBMG
136970,1959-09-25,93.38,DAILY AVERAGE,MBMG
136970,1959-10-02,93.23,DAILY AVERAGE,MBMG
136970,1959-10-09,92.79,DAILY AVERAGE,MBMG
136970,1959-10-16,92.92,DAILY AVERAGE,MBMG
136970,1959-10-23,93.0,DAILY AVERAGE,MBMG
136970,1959-11-27,91.46,DAILY AVERAGE,MBMG
136970,1959-12-04,91.33,DAILY AVERAGE,MBMG
136970,1959-12-11,90.78,DAILY AVERAGE,MBMG
136970,1959-12-18,90.96,DAILY AVERAGE,MBMG
136970,1959-12-26,91.14,DAILY AVERAGE,MBMG
136970,1959-12-31,90.65,DAILY AVERAGE,MBMG
136970,1960-01-29,91.65,DAILY AVERAGE,MBMG
136970,1960-02-05,91.77,DAILY AVERAGE,MBMG
136970,1960-02-12,92.27,DAILY AVERAGE,MBMG
136970,1960-02-19,92.39,DAILY AVERAGE,MBMG
136970,1960-02-26,92.62,DAILY AVERAGE,MBMG
136970,1960-03-11,93.23,DAILY AVERAGE,MBMG
136970,1960-03-18,93.75,DAILY AVERAGE,MBMG
136970,1960-03-25,94.35,DAILY AVERAGE,MBMG
136970,1960-04-01,94.92,DAILY AVERAGE,MBMG
136970,1960-04-08,94.82,DAILY AVERAGE,MBMG
136970,1960-04-15,95.23,DAILY AVERAGE,MBMG
136970,1960-04-22,95.4,DAILY AVERAGE,MBMG
136970,1960-05-20,96.22,DAILY AVERAGE,MBMG
136970,1960-05-27,97.65,DAILY AVERAGE,MBMG
136970,1960-06-03,97.94,DAILY AVERAGE,MBMG
136970,1960-06-17,98.06,DAILY AVERAGE,MBMG
136970,1960-06-24,98.82,DAILY AVERAGE,MBMG
136970,1960-07-08,100.66,DAILY AVERAGE,MBMG
