gwicid,date,daily_average,method,agency
135734,1986-01-30,67.0,DAILY AVERAGE,MBMG
135734,1986-02-28,67.0,DAILY AVERAGE,MBMG
135734,1986-03-27,69.0,DAILY AVERAGE,MBMG
135734,1986-05-17,70.8,DAILY AVERAGE,MBMG
135734,1987-01-28,67.0,DAILY AVERAGE,MBMG
135734,1987-03-03,68.16,DAILY AVERAGE,MBMG
135734,1987-05-26,71.0,DAILY AVERAGE,MBMG
135734,1989-10-24,65.5,DAILY AVERAGE,MBMG
135734,1989-11-21,58.02,DAILY AVERAGE,MBMG
135734,1990-01-17,65.72,DAILY AVERAGE,MBMG
135734,1990-03-19,68.25,DAILY AVERAGE,MBMG
135734,1990-04-24,69.29,DAILY AVERAGE,MBMG
135734,1990-06-28,68.02,DAILY AVERAGE,MBMG
135734,1990-07-27,60.92,DAILY AVERAGE,MBMG
135734,1990-10-24,64.85,DAILY AVERAGE,MBMG
135734,1990-11-20,61.75,DAILY AVERAGE,MBMG
135734,1991-02-07,67.65,DAILY AVERAGE,MBMG
135734,1991-05-14,67.48,DAILY AVERAGE,MBMG
135734,1991-11-06,63.2,DAILY AVERAGE,MBMG
135734,1992-02-13,68.08,DAILY AVERAGE,MBMG
135734,1992-11-05,61.0,DAILY AVERAGE,MBMG
135734,1993-03-10,66.95,DAILY AVERAGE,MBMG
135734,1993-05-12,68.3,DAILY AVERAGE,MBMG
135734,1993-11-02,67.9,DAILY AVERAGE,MBMG
135734,1994-11-22,73.51,DAILY AVERAGE,MBMG
135734,1995-02-16,74.59,DAILY AVERAGE,MBMG
135734,1996-01-04,75.7,DAILY AVERAGE,MBMG
135734,1996-04-19,77.22,DAILY AVERAGE,MBMG
135734,1996-10-20,75.73,DAILY AVERAGE,MBMG
135734,1997-02-11,75.19,DAILY AVERAGE,MBMG
135734,1997-04-05,76.07,DAILY AVERAGE,MBMG
135734,1997-10-04,76.38,DAILY AVERAGE,MBMG
135734,1998-01-12,75.37,DAILY AVERAGE,MBMG
135734,1998-04-04,76.55,DAILY AVERAGE,MBMG
135734,1998-07-01,77.35,DAILY AVERAGE,MBMG
135734,1999-01-20,73.01,DAILY AVERAGE,MBMG
135734,1999-04-17,74.38,DAILY AVERAGE,MBMG
135734,1999-10-16,75.21,DAILY AVERAGE,MBMG
135734,2000-01-11,72.81,DAILY AVERAGE,MBMG
135734,2000-11-12,73.19,DAILY AVERAGE,MBMG
135734,2001-07-27,79.32,DAILY AVERAGE,MBMG
135734,2001-10-05,75.74,DAILY AVERAGE,MBMG
135734,2002-01-15,74.52,DAILY AVERAGE,MBMG
135734,2002-04-24,76.53,DAILY AVERAGE,MBMG
135734,2003-01-06,74.07,DAILY AVERAGE,MBMG
135734,2003-04-18,75.57,DAILY AVERAGE,MBMG
135734,2003-10-12,84.9,DAILY AVERAGE,MBMG
135734,2004-01-25,72.44,DAILY AVERAGE,MBMG
135734,2004-04-17,76.92,DAILY AVERAGE,MBMG
135734,2004-07-21,67.76,DAILY AVERAGE,MBMG
135734,2005-01-11,69.28,DAILY AVERAGE,MBMG
135734,2005-04-30,73.57,DAILY AVERAGE,MBMG
135734,2005-10-09,69.35,DAILY AVERAGE,MBMG
135734,2006-01-08,69.65,DAILY AVERAGE,MBMG
135734,2006-04-09,71.56,DAILY AVERAGE,MBMG
135734,2006-06-17,74.19,DAILY AVERAGE,MBMG
135734,2006-10-22,72.18,DAILY AVERAGE,MBMG
135734,2007-01-23,71.81,DAILY AVERAGE,MBMG
135734,2007-03-31,72.98,DAILY AVERAGE,MBMG
135734,2007-10-01,73.68,DAILY AVERAGE,MBMG
135734,2008-01-09,72.44,DAILY AVERAGE,MBMG
135734,2008-04-03,74.01,DAILY AVERAGE,MBMG
135734,2008-05-08,74.74,DAILY AVERAGE,MBMG
135734,2008-06-03,78.3,DAILY AVERAGE,MBMG
135734,2008-08-28,77.1,DAILY AVERAGE,MBMG
135734,2008-09-30,73.31,DAILY AVERAGE,MBMG
135734,2008-10-21,74.37,DAILY AVERAGE,MBMG
135734,2008-10-31,72.27,DAILY AVERAGE,MBMG
135734,2008-12-02,71.22,DAILY AVERAGE,MBMG
135734,2009-01-05,71.27,DAILY AVERAGE,MBMG
135734,2009-02-06,71.72,DAILY AVERAGE,MBMG
135734,2009-03-04,72.16,DAILY AVERAGE,MBMG
135734,2009-04-03,72.84,DAILY AVERAGE,MBMG
135734,2009-05-01,73.62,DAILY AVERAGE,MBMG
135734,2009-06-02,84.74,DAILY AVERAGE,MBMG
135734,2009-10-06,75.55,DAILY AVERAGE,MBMG
135734,2009-11-03,73.82,DAILY AVERAGE,MBMG
135734,2009-12-02,73.47,DAILY AVERAGE,MBMG
135734,2010-01-07,73.68,DAILY AVERAGE,MBMG
135734,2010-02-01,73.9,DAILY AVERAGE,MBMG
135734,2010-03-01,74.51,DAILY AVERAGE,MBMG
