gwicid,date,daily_average,method,agency
157215,1996-06-04,110.55,DAILY AVERAGE,MBMG
157215,1996-08-13,118.61,DAILY AVERAGE,MBMG
157215,1996-11-13,120.84,DAILY AVERAGE,MBMG
157215,1997-03-12,116.25,DAILY AVERAGE,MBMG
157215,1997-05-26,92.5,DAILY AVERAGE,MBMG
157215,1997-08-21,105.7,DAILY AVERAGE,MBMG
157215,1997-11-12,115.36,DAILY AVERAGE,MBMG
157215,1998-03-03,118.57,DAILY AVERAGE,MBMG
157215,1998-05-26,108.48,DAILY AVERAGE,MBMG
157215,1998-08-13,111.25,DAILY AVERAGE,MBMG
157215,1998-11-02,116.38,DAILY AVERAGE,MBMG
157215,1999-03-08,118.69,DAILY AVERAGE,MBMG
157215,1999-09-13,117.78,DAILY AVERAGE,MBMG
157215,1999-11-03,118.68,DAILY AVERAGE,MBMG
157215,2000-02-29,121.0,DAILY AVERAGE,MBMG
157215,2000-06-19,122.74,DAILY AVERAGE,MBMG
157215,2000-08-09,125.6,DAILY AVERAGE,MBMG
157215,2000-11-28,119.45,DAILY AVERAGE,MBMG
157215,2001-04-03,124.2,DAILY AVERAGE,MBMG
157215,2001-06-19,107.59,DAILY AVERAGE,MBMG
157215,2002-02-19,123.08,DAILY AVERAGE,MBMG
157215,2002-06-12,109.5,DAILY AVERAGE,MBMG
157215,2002-10-10,120.96,DAILY AVERAGE,MBMG
157215,2003-04-08,116.91,DAILY AVERAGE,MBMG
157215,2003-07-09,106.18,DAILY AVERAGE,MBMG
157215,2003-09-29,121.68,DAILY AVERAGE,MBMG
157215,2004-03-30,114.86,DAILY AVERAGE,MBMG
157215,2004-08-18,124.83,DAILY AVERAGE,MBMG
157215,2004-12-03,125.96,DAILY AVERAGE,MBMG
157215,2005-05-11,124.51,DAILY AVERAGE,MBMG
157215,2005-08-19,123.47,DAILY AVERAGE,MBMG
157215,2005-11-17,125.84,DAILY AVERAGE,MBMG
157215,2006-03-24,120.76,DAILY AVERAGE,MBMG
157215,2006-05-26,114.76,DAILY AVERAGE,MBMG
157215,2006-07-19,119.15,DAILY AVERAGE,MBMG
157215,2006-11-27,123.85,DAILY AVERAGE,MBMG
157215,2007-04-06,121.65,DAILY AVERAGE,MBMG
157215,2007-06-12,120.81,DAILY AVERAGE,MBMG
157215,2007-07-06,121.77,DAILY AVERAGE,MBMG
157215,2007-10-02,123.68,DAILY AVERAGE,MBMG
157215,2008-03-11,121.45,DAILY AVERAGE,MBMG
157215,2008-06-13,114.47,DAILY AVERAGE,MBMG
157215,2008-06-25,112.55,DAILY AVERAGE,MBMG
157215,2008-09-25,120.21,DAILY AVERAGE,MBMG
157215,2008-11-17,122.77,DAILY AVERAGE,MBMG
157215,2009-04-06,116.55,DAILY AVERAGE,MBMG
157215,2009-06-02,101.1,DAILY AVERAGE,MBMG
157215,2009-06-30,104.0,DAILY AVERAGE,MBMG
157215,2009-10-23,120.3,DAILY AVERAGE,MBMG
157215,2010-03-23,122.33,DAILY AVERAGE,MBMG
157215,2010-06-28,113.8,DAILY AVERAGE,MBMG
157215,2010-07-26,116.21,DAILY AVERAGE,MBMG
157215,2010-10-13,121.51,DAILY AVERAGE,MBMG
157215,2011-03-24,120.3,DAILY AVERAGE,MBMG
157215,2011-06-14,92.3,DAILY AVERAGE,MBMG
157215,2011-06-30,81.61,DAILY AVERAGE,MBMG
157215,2011-11-09,114.2,DAILY AVERAGE,MBMG
157215,2012-04-16,109.55,DAILY AVERAGE,MBMG
157215,2012-05-31,100.1,DAILY AVERAGE,MBMG
157215,2012-07-05,105.98,DAILY AVERAGE,MBMG
157215,2012-10-31,120.7,DAILY AVERAGE,MBMG
157215,2013-03-26,121.06,DAILY AVERAGE,MBMG
157215,2013-05-22,108.04,DAILY AVERAGE,MBMG
157215,2013-07-02,111.78,DAILY AVERAGE,MBMG
157215,2013-10-25,123.1,DAILY AVERAGE,MBMG
157215,2014-04-10,118.62,DAILY AVERAGE,MBMG
157215,2014-06-04,103.35,DAILY AVERAGE,MBMG
157215,2014-11-03,121.58,DAILY AVERAGE,MBMG
157215,2015-03-23,108.24,DAILY AVERAGE,MBMG
157215,2015-06-03,112.4,DAILY AVERAGE,MBMG
157215,2015-09-29,124.3,DAILY AVERAGE,MBMG
157215,2016-02-11,125.13,DAILY AVERAGE,MBMG
157215,2016-04-07,120.33,DAILY AVERAGE,MBMG
157215,2016-05-26,109.43,DAILY AVERAGE,MBMG
157215,2016-09-23,124.55,DAILY AVERAGE,MBMG
157215,2016-10-20,124.55,DAILY AVERAGE,MBMG
157215,2016-12-02,124.2,DAILY AVERAGE,MBMG
157215,2017-03-29,116.12,DAILY AVERAGE,MBMG
157215,2017-06-02,100.8,DAILY AVERAGE,MBMG
157215,2017-09-26,121.53,DAILY AVERAGE,MBMG
157215,2017-12-06,122.53,DAILY AVERAGE,MBMG
157215,2018-04-09,108.86,DAILY AVERAGE,MBMG
157215,2018-05-21,90.59,DAILY AVERAGE,MBMG
157215,2018-08-29,108.63,DAILY AVERAGE,MBMG
157215,2018-12-06,118.33,DAILY AVERAGE,MBMG
157215,2019-04-03,121.34,DAILY AVERAGE,MBMG
157215,2019-05-23,91.91,DAILY AVERAGE,MBMG
157215,2019-09-24,115.8,DAILY AVERAGE,MBMG
157215,2020-01-09,121.13,DAILY AVERAGE,MBMG
157215,2020-02-04,120.39,DAILY AVERAGE,MBMG
157215,2020-03-17,120.88,DAILY AVERAGE,MBMG
157215,2020-04-29,115.59,DAILY AVERAGE,MBMG
157215,2020-05-26,106.0,DAILY AVERAGE,MBMG
157215,2020-06-29,105.3,DAILY AVERAGE,MBMG
157215,2020-07-30,110.05,DAILY AVERAGE,MBMG
157215,2020-08-31,115.19,DAILY AVERAGE,MBMG
157215,2020-09-30,118.81,DAILY AVERAGE,MBMG
157215,2020-10-29,119.65,DAILY AVERAGE,MBMG
157215,2020-11-25,119.79,DAILY AVERAGE,MBMG
157215,2020-12-09,119.74,DAILY AVERAGE,MBMG
157215,2021-01-13,120.63,DAILY AVERAGE,MBMG
157215,2021-02-24,121.18,DAILY AVERAGE,MBMG
157215,2021-03-17,121.72,DAILY AVERAGE,MBMG
157215,2021-04-29,113.83,DAILY AVERAGE,MBMG
157215,2021-06-29,108.29,DAILY AVERAGE,MBMG
157215,2021-09-30,122.06,DAILY AVERAGE,MBMG
157215,2021-10-29,122.35,DAILY AVERAGE,MBMG
157215,2021-12-01,122.92,DAILY AVERAGE,MBMG
157215,2022-01-14,122.98,DAILY AVERAGE,MBMG
157215,2022-02-17,124.01,DAILY AVERAGE,MBMG
157215,2022-03-31,123.45,DAILY AVERAGE,MBMG
157215,2022-04-05,123.2,DAILY AVERAGE,MBMG
157215,2022-05-10,108.94,DAILY AVERAGE,MBMG
