area,end_date,month,SPEI
Bitterroot,1991-01-31,1,0.5356711973249848
Bitterroot,1991-02-28,2,0.5013211881152277
Bitterroot,1991-03-31,3,0.783287033490258
Bitterroot,1991-04-30,4,0.8090276203156288
Bitterroot,1991-05-31,5,0.9465158473874229
Bitterroot,1991-06-30,6,0.9819773327705738
Bitterroot,1991-07-31,7,0.7221087405716446
Bitterroot,1991-08-31,8,0.8463468754139166
Bitterroot,1991-09-30,9,0.5723157774218719
Bitterroot,1991-10-31,10,0.4447177335463288
Bitterroot,1991-11-30,11,0.6748361139866556
Bitterroot,1991-12-31,12,0.7845088517283454
Bitterroot,1992-01-31,1,0.5486541310006892
Bitterroot,1992-02-29,2,0.4772193193452361
Bitterroot,1992-03-31,3,0.3848770849965131
Bitterroot,1992-04-30,4,-0.113890394452278
Bitterroot,1992-05-31,5,-0.44139016103848494
Bitterroot,1992-06-30,6,-0.33142234462145526
Bitterroot,1992-07-31,7,-0.1140472281256879
Bitterroot,1992-08-31,8,0.08454195789507346
Bitterroot,1992-09-30,9,0.048614232045591343
Bitterroot,1992-10-31,10,-0.14393047320477748
Bitterroot,1992-11-30,11,0.03207122263621143
Bitterroot,1992-12-31,12,0.12555370738209626
Bitterroot,1993-01-31,1,-0.32754828859602725
Bitterroot,1993-02-28,2,-0.3655809039201052
Bitterroot,1993-03-31,3,-0.5725965107860653
Bitterroot,1993-04-30,4,-0.47779664137333966
Bitterroot,1993-05-31,5,-0.39850342855827026
Bitterroot,1993-06-30,6,-0.19183157041278198
Bitterroot,1993-07-31,7,0.24264730833851833
Bitterroot,1993-08-31,8,0.659593518954079
Bitterroot,1993-09-30,9,0.578577899470379
Bitterroot,1993-10-31,10,0.5984437720407878
Bitterroot,1993-11-30,11,0.4298561076478651
Bitterroot,1993-12-31,12,0.1737048999490607
Bitterroot,1994-01-31,1,0.055966161149936466
Bitterroot,1994-02-28,2,0.0020215206090195004
Bitterroot,1994-03-31,3,-0.04167608774412157
Bitterroot,1994-04-30,4,-0.11765767312601572
Bitterroot,1994-05-31,5,-0.11274945868413111
Bitterroot,1994-06-30,6,0.05020642328387992
Bitterroot,1994-07-31,7,-0.38289509053380955
Bitterroot,1994-08-31,8,-0.5011627648201813
Bitterroot,1994-09-30,9,-0.35725185394841596
Bitterroot,1994-10-31,10,-0.10007971215746259
Bitterroot,1994-11-30,11,0.2759623856246112
Bitterroot,1994-12-31,12,0.15023812728354202
Bitterroot,1995-01-31,1,0.2872057502856584
Bitterroot,1995-02-28,2,0.3767152179471389
Bitterroot,1995-03-31,3,0.21004571595350763
Bitterroot,1995-04-30,4,0.17875213024908754
Bitterroot,1995-05-31,5,0.0035136769798682632
Bitterroot,1995-06-30,6,0.24333748457958215
Bitterroot,1995-07-31,7,0.5097070768250167
Bitterroot,1995-08-31,8,0.5339936226350577
Bitterroot,1995-09-30,9,0.7251694821474116
Bitterroot,1995-10-31,10,0.8771261702855975
Bitterroot,1995-11-30,11,1.1841171281376077
Bitterroot,1995-12-31,12,1.1409987380011586
Bitterroot,1996-01-31,1,1.1893559875394968
Bitterroot,1996-02-29,2,1.182733306058862
Bitterroot,1996-03-31,3,1.191932499362952
Bitterroot,1996-04-30,4,1.135665299667536
Bitterroot,1996-05-31,5,1.1909468933358496
Bitterroot,1996-06-30,6,1.14088585646694
Bitterroot,1996-07-31,7,1.194817008152016
Bitterroot,1996-08-31,8,1.2776088674208987
Bitterroot,1996-09-30,9,1.340573414559832
Bitterroot,1996-10-31,10,1.3780228885208323
Bitterroot,1996-11-30,11,1.4015002319756813
Bitterroot,1996-12-31,12,1.543149618375129
Bitterroot,1997-01-31,1,1.6268170531708863
Bitterroot,1997-02-28,2,1.6106540963787608
Bitterroot,1997-03-31,3,1.645211440143815
Bitterroot,1997-04-30,4,1.9664365422425414
Bitterroot,1997-05-31,5,2.032293699787558
Bitterroot,1997-06-30,6,1.895904820586248
Bitterroot,1997-07-31,7,2.070481808243677
Bitterroot,1997-08-31,8,2.118621128416282
Bitterroot,1997-09-30,9,2.124762721342159
Bitterroot,1997-10-31,10,2.127785562483316
Bitterroot,1997-11-30,11,2.127156273657445
Bitterroot,1997-12-31,12,2.1249877337464715
Bitterroot,1998-01-31,1,2.123563773967076
Bitterroot,1998-02-28,2,2.072913853163451
Bitterroot,1998-03-31,3,2.1284881504019406
Bitterroot,1998-04-30,4,1.71386380910549
Bitterroot,1998-05-31,5,1.688055675485004
Bitterroot,1998-06-30,6,1.7688703273823596
Bitterroot,1998-07-31,7,1.6406843654044714
Bitterroot,1998-08-31,8,1.6415976540354853
Bitterroot,1998-09-30,9,1.6063291536072088
Bitterroot,1998-10-31,10,1.501151058394051
Bitterroot,1998-11-30,11,1.559600115341348
Bitterroot,1998-12-31,12,1.462264127624254
Bitterroot,1999-01-31,1,1.3769458708911078
Bitterroot,1999-02-28,2,1.421276175991369
Bitterroot,1999-03-31,3,1.3832325969182595
Bitterroot,1999-04-30,4,1.3916873805846688
Bitterroot,1999-05-31,5,1.3832881588204509
Bitterroot,1999-06-30,6,1.3846585285698594
Bitterroot,1999-07-31,7,1.3795815368681583
Bitterroot,1999-08-31,8,1.287802435664437
Bitterroot,1999-09-30,9,1.2123620091740928
Bitterroot,1999-10-31,10,1.074679515816146
Bitterroot,1999-11-30,11,0.9955462292349723
Bitterroot,1999-12-31,12,1.0321653682586331
Bitterroot,2000-01-31,1,1.0451211583168836
Bitterroot,2000-02-29,2,1.0274200781002965
Bitterroot,2000-03-31,3,1.0364314851895606
Bitterroot,2000-04-30,4,0.7700400497059021
Bitterroot,2000-05-31,5,0.7055889653085882
Bitterroot,2000-06-30,6,0.2497657226797798
Bitterroot,2000-07-31,7,0.2594478681986261
Bitterroot,2000-08-31,8,0.2611004173524496
Bitterroot,2000-09-30,9,0.2654974685116016
Bitterroot,2000-10-31,10,0.45229764991868104
Bitterroot,2000-11-30,11,0.3869178323171101
Bitterroot,2000-12-31,12,0.30815375901196207
Bitterroot,2001-01-31,1,-0.23480292869204766
Bitterroot,2001-02-28,2,-0.8616404934352608
Bitterroot,2001-03-31,3,-1.6452114401438158
Bitterroot,2001-04-30,4,-1.1686922906874373
Bitterroot,2001-05-31,5,-1.456777532017631
Bitterroot,2001-06-30,6,-0.9977875420986927
Bitterroot,2001-07-31,7,-1.0624224844814167
Bitterroot,2001-08-31,8,-1.4550525396365424
Bitterroot,2001-09-30,9,-1.5938003516423866
Bitterroot,2001-10-31,10,-1.478363422672345
Bitterroot,2001-11-30,11,-1.62154625900833
Bitterroot,2001-12-31,12,-1.6561870462672887
Bitterroot,2002-01-31,1,-1.602224103716701
Bitterroot,2002-02-28,2,-1.9664633055251146
Bitterroot,2002-03-31,3,-2.128488150401942
Bitterroot,2002-04-30,4,-2.0508350178707895
Bitterroot,2002-05-31,5,-1.8348197394419263
Bitterroot,2002-06-30,6,-1.350808835543241
Bitterroot,2002-07-31,7,-1.2642144517830824
Bitterroot,2002-08-31,8,-1.1972495922850783
Bitterroot,2002-09-30,9,-1.2197941811707826
Bitterroot,2002-10-31,10,-1.3250382214058172
Bitterroot,2002-11-30,11,-1.4016055766873219
Bitterroot,2002-12-31,12,-1.5933131766565416
Bitterroot,2003-01-31,1,-1.4492685510612242
Bitterroot,2003-02-28,2,-1.1567239419112028
Bitterroot,2003-03-31,3,-0.6741891400433162
Bitterroot,2003-04-30,4,-0.34207616189922363
Bitterroot,2003-05-31,5,-0.5174700201270153
Bitterroot,2003-06-30,6,-0.9175713464394589
Bitterroot,2003-07-31,7,-0.7896185360696704
Bitterroot,2003-08-31,8,-0.6120264125002532
Bitterroot,2003-09-30,9,-0.2845348546301405
Bitterroot,2003-10-31,10,-0.3060025104457029
Bitterroot,2003-11-30,11,-0.12393710202563657
Bitterroot,2003-12-31,12,-0.049631296904335764
Bitterroot,2004-01-31,1,0.26667228802049925
Bitterroot,2004-02-29,2,-0.07159726977635028
Bitterroot,2004-03-31,3,-1.036431485189561
Bitterroot,2004-04-30,4,-0.5496032920250924
Bitterroot,2004-05-31,5,0.0949063068695779
Bitterroot,2004-06-30,6,-0.23027039231612823
Bitterroot,2004-07-31,7,-0.0001611016161906509
Bitterroot,2004-08-31,8,0.2952221998924063
Bitterroot,2004-09-30,9,0.4727936135457411
Bitterroot,2004-10-31,10,0.43944324773413146
Bitterroot,2004-11-30,11,0.2990339933522477
Bitterroot,2004-12-31,12,0.2655038169945598
Bitterroot,2005-01-31,1,-0.0012958365778521497
Bitterroot,2005-02-28,2,-0.5208308428821637
Bitterroot,2005-03-31,3,-1.1919324993629525
Bitterroot,2005-04-30,4,-0.7954642056638018
Bitterroot,2005-05-31,5,-0.6213079741902152
Bitterroot,2005-06-30,6,-0.09588276004145557
Bitterroot,2005-07-31,7,-0.08901157646930269
Bitterroot,2005-08-31,8,-0.04246514730416662
Bitterroot,2005-09-30,9,-0.13262949317908523
Bitterroot,2005-10-31,10,-0.3230746250549925
Bitterroot,2005-11-30,11,-0.6098791594898672
Bitterroot,2005-12-31,12,-0.6514997963155197
Bitterroot,2006-01-31,1,-0.48319587977067036
Bitterroot,2006-02-28,2,-0.2375177997985558
Bitterroot,2006-03-31,3,-0.12538099310291884
Bitterroot,2006-04-30,4,-0.0782301533260894
Bitterroot,2006-05-31,5,-0.20150111160138984
Bitterroot,2006-06-30,6,-0.1430058792128608
Bitterroot,2006-07-31,7,-0.41279438010844527
Bitterroot,2006-08-31,8,-0.5250697778523257
Bitterroot,2006-09-30,9,-0.48865882371911296
Bitterroot,2006-10-31,10,-0.3981768720848933
Bitterroot,2006-11-30,11,0.03343750763960385
Bitterroot,2006-12-31,12,0.21889088653948874
Bitterroot,2007-01-31,1,-0.3078911487969429
Bitterroot,2007-02-28,2,-0.1488479956185711
Bitterroot,2007-03-31,3,-0.37063676808973023
Bitterroot,2007-04-30,4,-0.9702792876332583
Bitterroot,2007-05-31,5,-1.3921940597593603
Bitterroot,2007-06-30,6,-1.346065729204669
Bitterroot,2007-07-31,7,-1.2497021125930254
Bitterroot,2007-08-31,8,-1.1673672909611157
Bitterroot,2007-09-30,9,-0.8313318040537329
Bitterroot,2007-10-31,10,-0.4343663341274213
Bitterroot,2007-11-30,11,-0.39283012316763366
Bitterroot,2007-12-31,12,-0.2702258744767463
Bitterroot,2008-01-31,1,-0.3494690461965302
Bitterroot,2008-02-29,2,-0.4133366157581464
Bitterroot,2008-03-31,3,0.04167608774412157
Bitterroot,2008-04-30,4,-0.00815714592349348
