area,end_date,month,SPEI
Bitterroot,1991-01-31,1,0.5585326123001577
Bitterroot,1991-02-28,2,0.2696302047030439
Bitterroot,1991-03-31,3,0.41018606968527416
Bitterroot,1991-04-30,4,0.5492236282261338
Bitterroot,1991-05-31,5,0.3452505992008785
Bitterroot,1991-06-30,6,0.5278375303900644
Bitterroot,1991-07-31,7,0.551304895263095
Bitterroot,1991-08-31,8,0.35317269857127176
Bitterroot,1991-09-30,9,0.5261022156791542
Bitterroot,1991-10-31,10,0.06175469999652505
Bitterroot,1991-11-30,11,0.3705248280395157
Bitterroot,1991-12-31,12,0.5333461935108035
Bitterroot,1992-01-31,1,0.17872641608319118
Bitterroot,1992-02-29,2,-0.21328779718222246
Bitterroot,1992-03-31,3,-0.33835634890561117
Bitterroot,1992-04-30,4,-0.3043108307395084
Bitterroot,1992-05-31,5,-0.7966834087884116
Bitterroot,1992-06-30,6,-0.7185690283956139
Bitterroot,1992-07-31,7,-0.6150065694838762
Bitterroot,1992-08-31,8,-0.6550845582912351
Bitterroot,1992-09-30,9,-0.3442677959874394
Bitterroot,1992-10-31,10,-0.4372118354160124
Bitterroot,1992-11-30,11,-0.22328472379047493
Bitterroot,1992-12-31,12,-0.1128286064450017
Bitterroot,1993-01-31,1,-0.3097362622383055
Bitterroot,1993-02-28,2,-0.5798891164343578
Bitterroot,1993-03-31,3,-0.7662318926890062
Bitterroot,1993-04-30,4,-0.43368880027093604
Bitterroot,1993-05-31,5,-0.46280188593726135
Bitterroot,1993-06-30,6,-0.0454188304162233
Bitterroot,1993-07-31,7,0.6733660914371304
Bitterroot,1993-08-31,8,0.5043433216593629
Bitterroot,1993-09-30,9,0.5426446357077537
Bitterroot,1993-10-31,10,0.8220525361630475
Bitterroot,1993-11-30,11,0.5576769652485756
Bitterroot,1993-12-31,12,0.609878938737384
Bitterroot,1994-01-31,1,0.39508004774381056
Bitterroot,1994-02-28,2,0.667825922843194
Bitterroot,1994-03-31,3,0.6027595336660523
Bitterroot,1994-04-30,4,0.3346550648012625
Bitterroot,1994-05-31,5,0.25857056640557463
Bitterroot,1994-06-30,6,0.062386216028616825
Bitterroot,1994-07-31,7,0.17635584784178593
Bitterroot,1994-08-31,8,-0.027933335402342108
Bitterroot,1994-09-30,9,-0.28518535003111745
Bitterroot,1994-10-31,10,0.03700564055207778
Bitterroot,1994-11-30,11,0.2907318601295963
Bitterroot,1994-12-31,12,0.23393283367946438
Bitterroot,1995-01-31,1,-0.19297600360421185
Bitterroot,1995-02-28,2,-0.05800480574517053
Bitterroot,1995-03-31,3,-0.30492667115379657
Bitterroot,1995-04-30,4,-0.7940072978440149
Bitterroot,1995-05-31,5,-1.019961458525815
Bitterroot,1995-06-30,6,-0.8459956702310425
Bitterroot,1995-07-31,7,-0.43295213050596115
Bitterroot,1995-08-31,8,-0.007522336638034144
Bitterroot,1995-09-30,9,0.48312160275716565
Bitterroot,1995-10-31,10,0.7496092581511808
Bitterroot,1995-11-30,11,1.160959325133105
Bitterroot,1995-12-31,12,1.2217450557860055
Bitterroot,1996-01-31,1,1.2848553169038874
Bitterroot,1996-02-29,2,1.4809098646523142
Bitterroot,1996-03-31,3,1.484799797400736
Bitterroot,1996-04-30,4,1.5879215634236488
Bitterroot,1996-05-31,5,1.7031606176587633
Bitterroot,1996-06-30,6,1.6848393906054793
Bitterroot,1996-07-31,7,1.5657200726233493
Bitterroot,1996-08-31,8,1.658555446738665
Bitterroot,1996-09-30,9,1.787798848124839
Bitterroot,1996-10-31,10,2.0563566460611864
