area,end_date,month,SPEI
Bitterroot,1991-01-31,1,0.7982078220055231
Bitterroot,1991-02-28,2,0.4283541084552216
Bitterroot,1991-03-31,3,0.5884390502995056
Bitterroot,1991-04-30,4,0.5656391334937818
Bitterroot,1991-05-31,5,0.7892137330200732
Bitterroot,1991-06-30,6,0.9105492332038609
Bitterroot,1991-07-31,7,0.5102466301717186
Bitterroot,1991-08-31,8,0.49948041089930184
Bitterroot,1991-09-30,9,0.5529375281555178
Bitterroot,1991-10-31,10,0.170725592772504
Bitterroot,1991-11-30,11,0.7556478938127874
Bitterroot,1991-12-31,12,0.5132111765230771
Bitterroot,1992-01-31,1,0.13288501735043456
Bitterroot,1992-02-29,2,0.12855893424114861
Bitterroot,1992-03-31,3,-0.20051945233949287
Bitterroot,1992-04-30,4,-0.4320302684757049
Bitterroot,1992-05-31,5,-0.6196409214363252
Bitterroot,1992-06-30,6,-0.8511107037738966
Bitterroot,1992-07-31,7,-0.5958583353800961
Bitterroot,1992-08-31,8,-0.2740586644713279
Bitterroot,1992-09-30,9,-0.40153743990615354
Bitterroot,1992-10-31,10,-0.7314897703682468
Bitterroot,1992-11-30,11,-0.4250292702185843
Bitterroot,1992-12-31,12,-0.23280318894438468
Bitterroot,1993-01-31,1,-0.1904777275513534
Bitterroot,1993-02-28,2,-0.3747661774674311
Bitterroot,1993-03-31,3,-0.5924190335554851
Bitterroot,1993-04-30,4,-0.46885455880271376
Bitterroot,1993-05-31,5,-0.7500055228705333
Bitterroot,1993-06-30,6,-0.11727298032951561
Bitterroot,1993-07-31,7,0.5431955859336239
Bitterroot,1993-08-31,8,0.8164682291785533
Bitterroot,1993-09-30,9,0.9517074044197968
Bitterroot,1993-10-31,10,0.5326715804869218
Bitterroot,1993-11-30,11,0.20294205387759745
Bitterroot,1993-12-31,12,0.18982822784659947
Bitterroot,1994-01-31,1,0.33240898626816406
Bitterroot,1994-02-28,2,0.6366038721695049
Bitterroot,1994-03-31,3,0.4134096057822776
Bitterroot,1994-04-30,4,0.6824380769062474
Bitterroot,1994-05-31,5,0.710313529502678
Bitterroot,1994-06-30,6,0.3777938691296123
Bitterroot,1994-07-31,7,0.3745221679881816
Bitterroot,1994-08-31,8,5.028074418600426e-06
Bitterroot,1994-09-30,9,-0.08004611370742731
Bitterroot,1994-10-31,10,0.012387620809701794
Bitterroot,1994-11-30,11,0.058677841204262116
Bitterroot,1994-12-31,12,0.09215776133040987
Bitterroot,1995-01-31,1,0.011139347691348611
Bitterroot,1995-02-28,2,0.08827382598529021
Bitterroot,1995-03-31,3,-0.03892843442332672
Bitterroot,1995-04-30,4,0.23449409700290147
Bitterroot,1995-05-31,5,-0.13282577899466474
Bitterroot,1995-06-30,6,-0.692630268603012
Bitterroot,1995-07-31,7,-0.5559838909835486
Bitterroot,1995-08-31,8,-0.32813780079197485
Bitterroot,1995-09-30,9,-0.053252642927022364
Bitterroot,1995-10-31,10,0.5236630244991336
Bitterroot,1995-11-30,11,1.2311385845667144
Bitterroot,1995-12-31,12,1.2155565159510797
Bitterroot,1996-01-31,1,1.3071874721256624
Bitterroot,1996-02-29,2,1.5749741970434923
Bitterroot,1996-03-31,3,1.5451563842102571
Bitterroot,1996-04-30,4,1.6832186864023733
Bitterroot,1996-05-31,5,1.803566778262676
Bitterroot,1996-06-30,6,1.754573947919376
Bitterroot,1996-07-31,7,1.7502283672514474
Bitterroot,1996-08-31,8,1.8239016493755904
Bitterroot,1996-09-30,9,1.8774303868054445
Bitterroot,1996-10-31,10,1.9201333336289472
Bitterroot,1996-11-30,11,2.008139484360596
Bitterroot,1996-12-31,12,2.265814118561675
Bitterroot,1997-01-31,1,2.2798648715511813
Bitterroot,1997-02-28,2,2.1939282167080365
Bitterroot,1997-03-31,3,2.197448190479228
Bitterroot,1997-04-30,4,2.2237480070646893
Bitterroot,1997-05-31,5,2.1038316002931707
Bitterroot,1997-06-30,6,2.0538780406556456
Bitterroot,1997-07-31,7,2.083282900930434
Bitterroot,1997-08-31,8,2.0762937148544625
Bitterroot,1997-09-30,9,2.105494986944495
Bitterroot,1997-10-31,10,2.0562151060447205
Bitterroot,1997-11-30,11,2.034430895104731
Bitterroot,1997-12-31,12,1.8255808478229578
Bitterroot,1998-01-31,1,1.6537023516380973
Bitterroot,1998-02-28,2,1.592646596181471
Bitterroot,1998-03-31,3,1.4782160618833369
Bitterroot,1998-04-30,4,1.293355879496171
Bitterroot,1998-05-31,5,1.465488288265997
Bitterroot,1998-06-30,6,1.7040767939835222
Bitterroot,1998-07-31,7,1.7461744769259806
Bitterroot,1998-08-31,8,1.6632326285032764
Bitterroot,1998-09-30,9,1.741644247057257
Bitterroot,1998-10-31,10,1.6991311687494868
Bitterroot,1998-11-30,11,1.5327039526099415
Bitterroot,1998-12-31,12,1.5642056276897391
Bitterroot,1999-01-31,1,1.5173627954991504
Bitterroot,1999-02-28,2,1.4662005379182843
Bitterroot,1999-03-31,3,1.3936232418267354
Bitterroot,1999-04-30,4,1.336703840359055
Bitterroot,1999-05-31,5,1.250730762765516
Bitterroot,1999-06-30,6,1.1413920758045215
Bitterroot,1999-07-31,7,1.0453948599405525
Bitterroot,1999-08-31,8,1.0487044333977247
Bitterroot,1999-09-30,9,0.8549768045673629
Bitterroot,1999-10-31,10,0.7667620304551065
Bitterroot,1999-11-30,11,0.8776164736511953
Bitterroot,1999-12-31,12,0.8766776533766819
Bitterroot,2000-01-31,1,0.9988526639926385
Bitterroot,2000-02-29,2,1.0062581446035095
Bitterroot,2000-03-31,3,0.9906448352670958
Bitterroot,2000-04-30,4,0.7088112400387406
Bitterroot,2000-05-31,5,0.3513073936836062
Bitterroot,2000-06-30,6,-0.09734294224577567
Bitterroot,2000-07-31,7,-0.019757945266819954
Bitterroot,2000-08-31,8,-0.38585779997914926
Bitterroot,2000-09-30,9,-0.0579828868676564
Bitterroot,2000-10-31,10,-0.21384779785166175
Bitterroot,2000-11-30,11,-0.8242576461973403
Bitterroot,2000-12-31,12,-1.256154686468749
Bitterroot,2001-01-31,1,-1.9132375641868617
Bitterroot,2001-02-28,2,-1.8861924812700641
Bitterroot,2001-03-31,3,-2.063849419765442
Bitterroot,2001-04-30,4,-2.0422953019036862
Bitterroot,2001-05-31,5,-2.710215160811414
Bitterroot,2001-06-30,6,-2.3545773970831636
Bitterroot,2001-07-31,7,-2.2355188477931147
Bitterroot,2001-08-31,8,-2.228208411842898
Bitterroot,2001-09-30,9,-2.4177250723750907
Bitterroot,2001-10-31,10,-1.8269107728460467
Bitterroot,2001-11-30,11,-2.069320719533897
Bitterroot,2001-12-31,12,-2.2790301680480267
Bitterroot,2002-01-31,1,-1.9322714200560291
Bitterroot,2002-02-28,2,-1.9622612154827432
Bitterroot,2002-03-31,3,-1.844576621404114
Bitterroot,2002-04-30,4,-1.8386659781063992
Bitterroot,2002-05-31,5,-1.2993276168046117
Bitterroot,2002-06-30,6,-1.070801192124934
Bitterroot,2002-07-31,7,-0.7346791583518953
Bitterroot,2002-08-31,8,-0.7695411289415404
Bitterroot,2002-09-30,9,-1.2223879284578458
Bitterroot,2002-10-31,10,-1.18442450492795
Bitterroot,2002-11-30,11,-1.057157547396068
Bitterroot,2002-12-31,12,-0.830609801614989
Bitterroot,2003-01-31,1,-0.43414844982306455
Bitterroot,2003-02-28,2,-0.10103149948880041
