area,end_date,month,SPEI
Bitterroot,1991-01-31,1,-0.27738084150777986
Bitterroot,1991-02-28,2,-0.37393525950911943
Bitterroot,1991-03-31,3,-0.25479265079682145
Bitterroot,1991-04-30,4,0.10934823304023489
Bitterroot,1991-05-31,5,0.34935802354769385
Bitterroot,1991-06-30,6,0.4699801048247667
Bitterroot,1991-07-31,7,0.15370960003848988
Bitterroot,1991-08-31,8,0.1013748722489487
Bitterroot,1991-09-30,9,0.233088398357854
Bitterroot,1991-10-31,10,0.3042004229137443
Bitterroot,1991-11-30,11,0.6128429411064145
Bitterroot,1991-12-31,12,0.7036950435791872
Bitterroot,1992-01-31,1,0.6579419310530746
Bitterroot,1992-02-29,2,0.6818877611508184
Bitterroot,1992-03-31,3,0.22132538628764564
Bitterroot,1992-04-30,4,0.22682048186319714
Bitterroot,1992-05-31,5,-0.08224637762929432
Bitterroot,1992-06-30,6,-0.04362078535435088
Bitterroot,1992-07-31,7,0.27098688115679903
Bitterroot,1992-08-31,8,0.3921467638938134
Bitterroot,1992-09-30,9,0.5834839610255145
Bitterroot,1992-10-31,10,0.5094897637203069
Bitterroot,1992-11-30,11,0.26106400414376396
Bitterroot,1992-12-31,12,0.5021765043780648
Bitterroot,1993-01-31,1,0.3894431872864963
Bitterroot,1993-02-28,2,0.432083563142617
Bitterroot,1993-03-31,3,0.1968962247407502
Bitterroot,1993-04-30,4,0.503901226895759
Bitterroot,1993-05-31,5,0.24579384777370383
Bitterroot,1993-06-30,6,0.4995671626089362
Bitterroot,1993-07-31,7,0.7419485580624273
Bitterroot,1993-08-31,8,0.6914660174582438
Bitterroot,1993-09-30,9,0.7912247816952498
Bitterroot,1993-10-31,10,0.723772391873702
Bitterroot,1993-11-30,11,0.40756962065320446
Bitterroot,1993-12-31,12,0.4602358269534843
Bitterroot,1994-01-31,1,0.41223885053562626
Bitterroot,1994-02-28,2,0.4627295645747087
Bitterroot,1994-03-31,3,0.392753668999559
Bitterroot,1994-04-30,4,0.3304902118190616
Bitterroot,1994-05-31,5,0.031617650832376665
Bitterroot,1994-06-30,6,0.0479514440555211
Bitterroot,1994-07-31,7,0.009739544649890242
Bitterroot,1994-08-31,8,-0.24706496549833368
Bitterroot,1994-09-30,9,-0.18194770696121876
Bitterroot,1994-10-31,10,-0.2814194523969378
Bitterroot,1994-11-30,11,-0.2642802239218496
Bitterroot,1994-12-31,12,-0.2404515881471918
Bitterroot,1995-01-31,1,-0.3037285981573419
Bitterroot,1995-02-28,2,-0.11833148521512715
Bitterroot,1995-03-31,3,-0.07506010822908515
Bitterroot,1995-04-30,4,-0.1719545506101674
Bitterroot,1995-05-31,5,-0.20826074256906058
Bitterroot,1995-06-30,6,-0.19364125513134223
Bitterroot,1995-07-31,7,0.16069503335850288
Bitterroot,1995-08-31,8,0.26126853488825796
Bitterroot,1995-09-30,9,0.5008828197376693
Bitterroot,1995-10-31,10,0.6609402895553405
Bitterroot,1995-11-30,11,0.6926196516188367
Bitterroot,1995-12-31,12,0.8209647237688374
Bitterroot,1996-01-31,1,1.0148673764717269
Bitterroot,1996-02-29,2,1.0364318067635199
Bitterroot,1996-03-31,3,1.0487919008881368
Bitterroot,1996-04-30,4,1.0905313086618929
Bitterroot,1996-05-31,5,1.1994313178936316
Bitterroot,1996-06-30,6,1.2019342848728862
Bitterroot,1996-07-31,7,1.1539361910258594
Bitterroot,1996-08-31,8,1.1807239977235815
Bitterroot,1996-09-30,9,1.1718604444847123
Bitterroot,1996-10-31,10,1.1676750419844901
Bitterroot,1996-11-30,11,1.2054582050349234
Bitterroot,1996-12-31,12,1.255743697600772
Bitterroot,1997-01-31,1,1.3393347874652712
Bitterroot,1997-02-28,2,1.4651337323734213
Bitterroot,1997-03-31,3,1.4955139841929888
Bitterroot,1997-04-30,4,1.4730990894193647
Bitterroot,1997-05-31,5,1.431581201380572
Bitterroot,1997-06-30,6,1.3614995274670796
Bitterroot,1997-07-31,7,1.3607820366511194
Bitterroot,1997-08-31,8,1.341883406366072
Bitterroot,1997-09-30,9,1.3790120007839208
Bitterroot,1997-10-31,10,1.4198528216446282
Bitterroot,1997-11-30,11,1.5557393486669926
Bitterroot,1997-12-31,12,1.5327219302456618
Bitterroot,1998-01-31,1,1.5456912859268135
Bitterroot,1998-02-28,2,1.5397193681531474
Bitterroot,1998-03-31,3,1.488728543804609
Bitterroot,1998-04-30,4,1.5308488908993185
Bitterroot,1998-05-31,5,1.5619577545317678
Bitterroot,1998-06-30,6,1.6937274922425938
Bitterroot,1998-07-31,7,1.843776138233829
Bitterroot,1998-08-31,8,1.8447035238737035
Bitterroot,1998-09-30,9,2.0638482948408856
Bitterroot,1998-10-31,10,2.063435542396854
Bitterroot,1998-11-30,11,2.0619292469325665
Bitterroot,1998-12-31,12,2.120974974668194
Bitterroot,1999-01-31,1,2.1246645923603102
Bitterroot,1999-02-28,2,2.1284881504019406
Bitterroot,1999-03-31,3,2.1272978153239714
Bitterroot,1999-04-30,4,2.128253551117016
Bitterroot,1999-05-31,5,2.105301611321435
Bitterroot,1999-06-30,6,1.9844713646808938
Bitterroot,1999-07-31,7,1.8082026123960278
Bitterroot,1999-08-31,8,1.8174798199675415
Bitterroot,1999-09-30,9,1.6718528153443302
