,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
SGI_129491,0.03801854998036369,0.07521989314902824,0.11984061395022438,0.05911538898764914,0.07201865443553016,0.11320772106880174,0.09524146003565695,0.11513706647386586,0.09887280759741775,0.06454704929999525,0.025084562471892485,0.0032811160710325997,0.028393328397456258,0.03518295783241247,0.03316139220105419,0.05372981176618833,0.05130276897956309,0.06550864979646828,0.09916159496696555,0.07301712140471142,0.05674057370402723,0.06316148436737754,0.06951491327925227,0.07771452446895191,0.06308286674172627,0.0630847761203945,0.06897441608622644,0.08072221420073179,0.052142602592025404,0.05720482830897941,0.05881431279386525,0.050783878192665395,0.03979477411496387,0.032609096388861517,0.06336483397765055,0.046169467260506865,0.011800397852531992,0.013364096356733903,0.007450111137233693,-0.003201238713498098,-0.018906356087204697,-0.011680563321433619,-0.01874393226572867,-0.030762660838672542,-0.007410320377796681,-0.00932120204849975,-0.04764245501123141,-0.02627455560550111
SGI_135689,0.11589194457264258,0.165950432537586,0.2532746423285761,0.3755710501358505,0.41181121253476766,0.4966902400310138,0.5437317186266926,0.5522283230926686,0.5393162191295241,0.5452483034765083,0.5217648572487464,0.48873687128583243,0.46834004815814634,0.44536309821266523,0.44074690560785085,0.4080582865826416,0.3671092525352801,0.35844109994694784,0.3494895200260271,0.28253975752067667,0.2881001542692225,0.29034022467854054,0.24971703865496095,0.23029838185386728,0.21376986577146684,0.1895607930252337,0.16695662118791663,0.15599193972457445,0.12206181159276076,0.13577951771232397,0.143733707590121,0.14051583966946948,0.12122521156502167,0.11317255213410168,0.10998347286303287,0.10981496329798468,0.09172129079102155,0.10874659234580569,0.10136387057558253,0.10739161079965882,0.1140993910042538,0.12438753787586895,0.12322623071929478,0.1280659150438306,0.1261155428339225,0.13791538833627406,0.13776715889508517,0.12488571009713231
SGI_91230,0.09352793091369992,0.15914780890695457,0.20193055061029713,0.23896071148031356,0.2677665660337057,0.32362977875039894,0.328531664826581,0.3407268036741092,0.36594837917744955,0.3580399660279732,0.32478666820026103,0.2871496599301972,0.28577663305018125,0.2918023588092351,0.26571880243263246,0.2672608598669995,0.2699251693425501,0.2609873324071486,0.2863973354137001,0.2426627577198722,0.24524947939998296,0.25125560606483577,0.23451204516726848,0.23812248619029372,0.23377653513806598,0.2371250930881572,0.24498674423620884,0.22451829755772398,0.21895163582594893,0.23368000881229192,0.23089712273995752,0.22491333660658136,0.22245006257332137,0.22531023491770846,0.23489435871138803,0.2515739303933401,0.26352490644435284,0.2861742705018105,0.28954954018815077,0.30131220359066446,0.2961581571793029,0.3056046829809708,0.30232024879897623,0.3085886328146252,0.32993858700957496,0.3284045927324554,0.34133851694785483,0.34260248374450225
SGI_135680,-0.06757888133426725,-0.062473026227350875,-0.005374708447419126,0.021935130877334483,0.013676144926100706,0.02083377552632758,0.05275893052971183,0.049032717564849074,0.07143952096938137,0.11332875810981952,0.14776321095789616,0.18936472785674363,0.19821802119224666,0.2102693782350487,0.24924591354714248,0.2645375368788957,0.27310782669808004,0.2953306778170052,0.27774200927779863,0.2889135730844789,0.3091035156111815,0.3096152803031911,0.31547599745538,0.324548432514274,0.3268108038268646,0.3199226928272683,0.3359171267978034,0.33864672435221677,0.313992868236441,0.3201877734993379,0.3157140060798589,0.3122564973428468,0.31669646102131555,0.3125765746846647,0.33163589282359357,0.34187221859675,0.34718717425135814,0.3460779250182183,0.34085199438007774,0.347235881072489,0.3412786570539806,0.35641504872997326,0.36296154358204863,0.35897587077846416,0.37007107075708295,0.3780301650397574,0.3735272701576841,0.3721752667189658
SGI_91244,0.08393637522838883,0.05538553165186285,0.08658823064511113,0.1538612440293061,0.20993831860516785,0.266594031137845,0.28274085275717437,0.2742419313524369,0.25027926337983014,0.21572893210959126,0.21167140985143446,0.19769377491411794,0.20442996751870313,0.23565259117082535,0.19811011198060707,0.22631236147095402,0.21927132545497338,0.22945394218283474,0.2479675341767481,0.24276261518958905,0.22288851834111456,0.21929814038467946,0.18793045049113696,0.19664234740722167,0.1994481726944536,0.20881491418169207,0.1893121260020323,0.16765399708285963,0.15390445277095552,0.14680530514552095,0.15090031126491896,0.13706063749803185,0.12791043123693535,0.12951247585394676,0.12241649042956801,0.13390435222011177,0.14164371517144994,0.154326977018938,0.16117195438636106,0.16579812168478097,0.1653676714973939,0.17244564500233278,0.1611241502125759,0.17435632541276264,0.18127340614921528,0.18244763279105736,0.2088675748951709,0.20590617973777167
SGI_133167,0.04870417152969772,0.12724955590717582,0.18533696547851622,0.15652042225418214,0.17366134974532554,0.17794566564407374,0.1874510335574025,0.21863933888988052,0.1859341805510612,0.19003896553843086,0.18295909687678794,0.17597326821634332,0.18669504965166558,0.2431833170522423,0.2424509999725184,0.2705494195513382,0.2984792999072312,0.3044306885544946,0.31453449283908524,0.32512071011683596,0.35193798734166865,0.3601353443292393,0.37792012701965366,0.3713456452513059,0.3646302329378049,0.3930581338591113,0.38089308962763757,0.3738761761926418,0.38213705590981906,0.36134797593653456,0.3617205900637248,0.3465551859071124,0.34590227904010806,0.34709780879280405,0.34349703711302937,0.33912109976111265,0.3521501321770179,0.3517474647418383,0.3356656082111377,0.3279333610617667,0.32681587273583895,0.3326695562669572,0.33104174745430176,0.3347349934294712,0.3285799777809003,0.34666440317392266,0.3603978026337147,0.36373712272070996
SGI_133174,0.06159816464596438,0.03990211297954972,0.1193376392324528,0.20484625497428582,0.21068381688970525,0.28662605100091504,0.3330051722520039,0.3540738841198158,0.35293366652095176,0.3814534142423439,0.3933728704157965,0.39566651276717923,0.41999519039544975,0.3852497943259287,0.40459454863782074,0.4004585083515941,0.36416855189663083,0.351747223884296,0.34088434000322704,0.3201909314184389,0.326283831637851,0.3506774444382576,0.33124330011752423,0.3258292854328985,0.3229652367522161,0.3227147759517164,0.31828887646453996,0.31190784488460654,0.2974848322421061,0.29590065106019825,0.2904330130419097,0.26903149652126557,0.25300136036495907,0.247750345618062,0.2642358766618749,0.24288226020213308,0.250723918304815,0.25967905516058143,0.27342124900137404,0.2858061068781798,0.2887491009509233,0.30602456314515675,0.32151610905626593,0.3308010171966214,0.3165831302937535,0.31797818043478737,0.3158860946526246,0.3122558008398398
SGI_135735,0.16940209066085582,0.2117805027206589,0.24903400003390785,0.26763875142156063,0.30234011661023347,0.3339562525946585,0.3634622219912964,0.390740406749727,0.4206836279826599,0.43199875378739866,0.43779548308530336,0.4571797907498825,0.4754287699812069,0.4884332510755218,0.4985993014520612,0.5140519339808378,0.52285420849845,0.5256029692722018,0.5427956306690271,0.5464512176330417,0.5538685620531487,0.5514302321262121,0.5477183881110669,0.5486815329315005,0.5662387385440092,0.5705757763353498,0.567680244574336,0.5685827148378747,0.5714254449867465,0.5690873982978565,0.5721375183960903,0.5649823493636239,0.5701963944556432,0.575205543302129,0.5692042722521189,0.5805177897647842,0.5847187235733778,0.5895039133254065,0.5844452804405348,0.588394846937761,0.5895371336907924,0.5924081262064359,0.5963043034053105,0.6055853612881187,0.6151984570586861,0.6171987959431542,0.619349975835212,0.6162408974588405
SGI_9771,0.15160143571071052,0.1932739177975154,0.30997089928192084,0.2801566468651227,0.25600878918993397,0.3204483557338062,0.3473667162120579,0.3900497750217473,0.45998257988203756,0.46167234775545746,0.46084686928019136,0.5032642225408801,0.5009266108007957,0.46260415517309955,0.44319387027748497,0.4174831265921632,0.4177936139752651,0.41701291733410023,0.41735176654546624,0.4040082727111019,0.3862089863836648,0.40687878827699103,0.4049818335003547,0.3918977720423249,0.35828614377932255,0.3062721483738432,0.32105709406930555,0.31870783511507156,0.29902269579757634,0.2905260015340157,0.29529589224694647,0.30166768421611323,0.28593905106457584,0.29762636924637476,0.2844068606233856,0.30995856909321545,0.29453100218714073,0.3012668034604443,0.3159181626386294,0.33854917307752497,0.3522927179631936,0.36980371347284263,0.36246028363912103,0.3497435836219405,0.37740220270087915,0.3663687130970367,0.37563860952502676,0.38746014313994087
SGI_820,0.0402985726862673,0.12879702410972507,0.225480824387181,0.14947479393742616,0.2244429756836377,0.20528647356086718,0.1747737216766938,0.18062664212851834,0.192012934878708,0.1444439589060399,0.14301282016746966,0.10971153268772331,0.12288674886112579,0.11771389242820202,0.10321951592898002,0.10441850429965242,0.11708845202527722,0.11389570167148214,0.11337677731971048,0.09134434181580549,0.08760262412145196,0.07811450202642704,0.048855362128902034,0.028155742854810546,0.019468122588283465,0.009966078734814598,-0.02527714732886531,-0.009621949954166025,-0.012862689188621686,-0.024816908217756825,-0.04442811805405016,-0.05003810007694666,-0.04529427348629892,-0.0400686086700599,-0.031319901349947374,-0.0565330973577538,-0.041777621190274256,-0.040137433019138205,-0.027295420903189115,-0.04178160386001472,-0.029728902994918305,0.0005817430989787478,0.003565580878329755,0.014577836771981897,0.05872118906398632,0.06230753368914604,0.052027841771559995,0.08243714383798666
