,SPI_1,SPI_2,SPI_3,SPI_4,SPI_5,SPI_6,SPI_7,SPI_8,SPI_9,SPI_10,SPI_11,SPI_12,SPI_13,SPI_14,SPI_15,SPI_16,SPI_17,SPI_18,SPI_19,SPI_20,SPI_21,SPI_22,SPI_23,SPI_24,SPI_25,SPI_26,SPI_27,SPI_28,SPI_29,SPI_30,SPI_31,SPI_32,SPI_33,SPI_34,SPI_35,SPI_36,SPI_37,SPI_38,SPI_39,SPI_40,SPI_41,SPI_42,SPI_43,SPI_44,SPI_45,SPI_46,SPI_47,SPI_48
SGI_129491,0.07680207926942317,0.16850743013114894,0.16121401294703713,0.08485740355617176,0.11201570511790226,0.10692198747204829,0.09712165014377674,0.11952724893220441,0.09544422563555222,0.1006024596086456,0.035155253933357715,0.034811166854747555,0.06824905760111348,0.04672210974556533,0.024218200363249048,0.03633805326608014,0.030967837074914423,0.03411992049146821,0.07329054774396414,0.09404944408475746,0.06893108734621577,0.10535516238194845,0.1002675891482125,0.08650717820986512,0.07762543049324035,0.08294341918140273,0.09165926777084046,0.09731519912549497,0.07400022734359758,0.05205545946402282,0.039268937846384536,0.047652988181448176,0.0034009321073343516,-0.023004678969936427,-0.007354861305292175,-0.00975118203132722,-0.016890988912488046,-0.03158227828671828,-0.040546975566936566,-0.05113994205843507,-0.06717378548045673,-0.021207438425410143,-0.031228974589931062,-0.05233195800933455,-0.023222805600126798,-0.02364984224233048,-0.020903290025567234,-0.021551525504020307
SGI_135689,0.07675783993571633,0.140328850292051,0.2404259365845632,0.3645994289190686,0.39353139268514403,0.450318793594393,0.5049382240298069,0.520490677354434,0.49076064188870133,0.5091983357349861,0.49650004537361886,0.4724522306853517,0.47337088331159255,0.4464850659904325,0.4607098860203028,0.4363960474321499,0.3837519066085042,0.3694612021548304,0.35740808190580287,0.3165299046915885,0.32160051911978393,0.3276457257793365,0.2952305892680284,0.2715780811225821,0.2541982673641606,0.24762847151885214,0.22582445654691077,0.22816770445010973,0.2066073375360076,0.20824201710773524,0.2050696199464813,0.18582515268418798,0.1682824925197617,0.15388363816286338,0.14307610645442218,0.14995543478137335,0.14400843320635812,0.1686753128579107,0.16586963088575155,0.16990722727280205,0.18330289804461733,0.18312513441058156,0.17823352671875778,0.20154169551715576,0.21449233565271364,0.22831687673041948,0.23078194866253804,0.23013429234552657
SGI_91230,0.06128465992305294,0.14173904730513784,0.15111747207892992,0.18503026616788085,0.19379214506719555,0.24987842269577842,0.27535908601603404,0.2798758041077111,0.28976963352263935,0.28341297628196005,0.26203199665289234,0.25314265208964076,0.24902218595324577,0.24957915548479612,0.2272477253615902,0.2431795478573555,0.25633622116979893,0.2681988408940134,0.29674976411953174,0.28568934678031144,0.2809135408717191,0.2776368420107325,0.26153183247157474,0.26330942428495563,0.27298711626973,0.27248556659206524,0.30633185685635345,0.2872147782585128,0.2716542687837811,0.26650853535050234,0.2644330618224863,0.23524619577363065,0.22343899590330177,0.2258178931313415,0.23646681805546116,0.2584158511868564,0.2819568196211157,0.2931474736169672,0.2977279245406127,0.29268333234067523,0.3084502807711308,0.30577904381384446,0.31462266699764047,0.3274689891283245,0.3437568841853048,0.3408584258270875,0.35230539664715993,0.3650131691431299
SGI_135680,-0.058730304724036196,-0.045379613841701985,-0.01718067180318049,0.007909948281107393,0.004648332755534487,-0.0005023312414656752,0.024906667798680733,0.02992054676279353,0.03461368840841181,0.08214412897413584,0.09959837084309106,0.12098871995151206,0.12317492211507394,0.11370373776894178,0.13646665393150842,0.1458317119590211,0.16172943448822352,0.1922230633715624,0.18498760680434786,0.19663320150086197,0.20542989413310128,0.21121024095391053,0.21817920254325826,0.23344016716074364,0.23776776259778362,0.24498199390127423,0.2529579763361893,0.2749780082684194,0.2611509281336154,0.2624480275834094,0.2815743485612809,0.28859755249125635,0.2923945163351988,0.29557358916851206,0.2903474575671603,0.2981654297054641,0.29964648144086525,0.2953542614433651,0.30201663589003425,0.3059032175141443,0.2930760831369996,0.31333677654278186,0.31933409272610214,0.3292085570829884,0.34968386148864566,0.3578744549234358,0.3681286156647163,0.3724255523874884
SGI_91244,0.06004427286027176,0.023447539059832063,0.04787029477371155,0.1386684693826772,0.18270564052050914,0.23479575844270378,0.2648821095729253,0.2515649686936322,0.22983076251080964,0.18886460648036874,0.19051725293751712,0.18216510799011817,0.1978391400593667,0.21810699298089362,0.19063015790470061,0.2204963443489143,0.20193617905603772,0.22324416898774258,0.23727402247238147,0.23905792095388068,0.22784363508838015,0.2377538685829113,0.2385879540279794,0.22935232771236957,0.23543367150729053,0.24084040812329008,0.22100018276497063,0.1793438951226206,0.165927962397042,0.1622402039064111,0.17252161248055803,0.14157718359974197,0.13080322710625708,0.13154698857757835,0.12170732068753687,0.13660230848321928,0.1452070782946913,0.15259388577267138,0.1644968919379912,0.15546872849958107,0.18119835920860952,0.18439498109199218,0.1735278780005809,0.16805763234054064,0.17799750338895745,0.1789219128077723,0.1828552396020273,0.19065132758604753
SGI_133167,-0.031464318842488584,0.06467753744752205,0.09774297890781534,0.07775520410766908,0.11850627839316831,0.10205294207961763,0.11727887318272305,0.16295544519332247,0.11893983943765395,0.12857588631368683,0.12113451323185306,0.11404609547919213,0.12035410335177892,0.1606032238646483,0.16570214600754277,0.18747423823302287,0.20555678703486605,0.21070333982771808,0.22141168697715488,0.23443317389632629,0.2545442998668755,0.26824360757390475,0.2879663605524922,0.27823260977911046,0.2717328580079765,0.297119994435365,0.29703083962903415,0.2905127683771473,0.28121868514183546,0.261206484367352,0.2579370677023152,0.23412052142480988,0.2206068511227435,0.21474705987924467,0.2159219492448649,0.22298471972447176,0.22001085734891537,0.2098362177387468,0.19268551985786853,0.19205655101868513,0.18853310422054131,0.20050061034706174,0.1975865916086315,0.1896310517669993,0.17924634877753065,0.20522947897874733,0.22187333789212832,0.2209854537249704
SGI_133174,-0.02853295487504693,-0.04214953029314069,0.0324103550688672,0.12668631964520838,0.12294429277634976,0.1863155178004704,0.23308314948823777,0.2533143076951081,0.24418486273123097,0.2584860089470983,0.26742945316367034,0.2657576476302009,0.28530533563543553,0.26689786522906483,0.2783011418138425,0.3017570467047586,0.2770618705625676,0.2769198936607785,0.27021286079641843,0.2535278233458606,0.2612529076377778,0.29203217923027786,0.2702821983531061,0.26544948071158897,0.27387674533948614,0.2781459577583987,0.2522269187108633,0.2664653309468703,0.25769468032394843,0.24968234044003942,0.24529646483050954,0.22390307710201726,0.21724447046772474,0.20692968346332977,0.21449408071911366,0.1997537966442244,0.18675685685176813,0.2110910374607281,0.23169529775834638,0.25464933081038027,0.2745943340213967,0.27542748529778666,0.2886412425294092,0.2983286897352014,0.2939252045874651,0.3096285102830165,0.3136489879747637,0.3234134769102089
SGI_135735,0.1218682370322521,0.13709618317081756,0.17166556474566014,0.1973451316508602,0.22413309155792102,0.24110039317875034,0.2776441418747689,0.30183103695688795,0.32179917009693076,0.33741565983335386,0.34790678589936624,0.36988654684068,0.3876715632662438,0.38960597616418546,0.3968480158183035,0.41350353982074795,0.42306853597066524,0.43956918124259453,0.45970610975270604,0.47031462940721036,0.4760312257967181,0.48025380359157516,0.48306406693367654,0.491284087209323,0.5047284588657529,0.5103864706919788,0.5153017379975168,0.5111514369435668,0.5110187799439516,0.5125588132339003,0.5123489413309559,0.5039756135582922,0.5009552538513181,0.5017469310723717,0.500594094608711,0.504623859607173,0.5040308311926498,0.5125132474624589,0.5166745471508948,0.514987715759849,0.5204556083328195,0.5236936961102279,0.532141994166938,0.5351612315642708,0.5403819915542016,0.5438943718079717,0.5469479518803317,0.5497155674560593
SGI_9771,0.13227210338481457,0.17288922691463374,0.27030912154626136,0.2469658441570915,0.18692086826635368,0.22954720341951487,0.246222465711011,0.29512870673296854,0.3494192169416978,0.36483163151153913,0.37250425242088386,0.40550995688129665,0.4070967265362837,0.38441920574741884,0.36566009544241196,0.3596309678445825,0.36783052166851843,0.3834549035864389,0.386795628410391,0.38624182639533905,0.3494371296753383,0.370320391644547,0.36623479564671113,0.3431870783626094,0.32974058630981223,0.30791690582447756,0.3149655665120118,0.3312885450419116,0.3074257983771674,0.2973095820536986,0.29849032974616785,0.3042059845052887,0.31113522696855295,0.32073794492766083,0.30255950573816665,0.3125100292754608,0.314065451646577,0.32280537293533446,0.33805358744680464,0.3715190520706567,0.4038784053922083,0.4083700233525621,0.41231679566468415,0.41229589747543693,0.427081366367861,0.438258912159529,0.43267312471930175,0.4563836131481017
SGI_820,-0.06462246888036399,0.04148390515294571,0.08913481654957775,0.016728482392638917,0.10731355594637851,0.056052023533735264,0.02102736096994727,0.026536152641123217,0.00804605863325947,-0.027874431232534334,-0.04076833578366059,-0.07442194558645189,-0.06035909565344001,-0.039309885237102354,-0.05767980728981899,-0.058206925183987034,-0.040484292980585576,-0.025186949326516914,-0.012929409901510635,-0.01672302003104132,-0.03360171736761414,-0.03598057584336736,-0.0612767724018362,-0.07052455058656687,-0.07767205073702174,-0.10857263029462447,-0.1148789267590495,-0.08788666692452697,-0.09651446706793046,-0.10959136073257619,-0.12918212060235562,-0.1408306067092299,-0.14321765872737952,-0.1495649229037865,-0.14676819376581715,-0.1590830879875982,-0.14990085814203868,-0.12910837872078806,-0.0972054558100264,-0.10367289194158051,-0.09993663660882458,-0.07308639817583958,-0.030949740811981093,-0.011495539982141584,0.013604011558813786,0.013486570784465465,0.031149117010293364,0.045045364914578556
SGI_99215,0.031969584337330006,0.1819521195139453,0.18624966040702898,0.14313542851576957,0.2046608689430811,0.2409817320936584,0.24392537594262018,0.2509142910038976,0.2406398992126177,0.22132111691380252,0.24550915186744193,0.2423804107379166,0.22607095196826318,0.19821530396345788,0.17927119438578334,0.13999325290620337,0.155974313274857,0.14967354213567458,0.15376359494812658,0.15107669893994644,0.13898566690313582,0.15841938864230093,0.14309811051565596,0.12707973214688872,0.1422069566729429,0.1467507963667764,0.14281150827478342,0.14952128469521103,0.1478569018901439,0.15240820518400014,0.15646243271634305,0.16955806531621215,0.16648306210685043,0.1826357852760267,0.18912613185578628,0.19558214587544134,0.19258924226632956,0.20792096943300634,0.22351840076049204,0.25400571413330936,0.2618842903172953,0.2585898572672656,0.2778429598858808,0.2971527858646687,0.2981738063477772,0.29916945059080835,0.30189515731910666,0.3129756179128406
