area,start_date,end_date,value
Bitterroot,1983-09-01,1983-09-30,53.72188538312912
Gallatin,1983-09-01,1983-09-30,60.99699557572603
Paradise Valley,1983-09-01,1983-09-30,58.16223994642496
Bitterroot,1983-10-01,1983-10-31,56.357558488845825
Gallatin,1983-10-01,1983-10-31,42.914003369398415
Paradise Valley,1983-10-01,1983-10-31,63.59643280506134
Bitterroot,1983-11-01,1983-11-30,121.26576763438061
Gallatin,1983-11-01,1983-11-30,46.935417687986046
Paradise Valley,1983-11-01,1983-11-30,98.00702940300107
Bitterroot,1983-12-01,1983-12-31,119.01413759961724
Gallatin,1983-12-01,1983-12-31,25.14554332429543
Paradise Valley,1983-12-01,1983-12-31,71.34643365442753
Bitterroot,1984-01-01,1984-01-31,113.8010031580925
Gallatin,1984-01-01,1984-01-31,8.555503785610199
Paradise Valley,1984-01-01,1984-01-31,33.25867811590433
Bitterroot,1984-02-01,1984-02-29,85.00899282842875
Gallatin,1984-02-01,1984-02-29,14.924813473597169
Paradise Valley,1984-02-01,1984-02-29,33.43797814287245
Bitterroot,1984-03-01,1984-03-31,129.7362450659275
Gallatin,1984-03-01,1984-03-31,46.70054478989914
Paradise Valley,1984-03-01,1984-03-31,51.71094956994057
Bitterroot,1984-04-01,1984-04-30,87.3688022904098
Gallatin,1984-04-01,1984-04-30,59.842464074492455
Paradise Valley,1984-04-01,1984-04-30,70.34725215286016
Bitterroot,1984-05-01,1984-05-31,133.3528907597065
Gallatin,1984-05-01,1984-05-31,51.03685515373945
Paradise Valley,1984-05-01,1984-05-31,112.16800293140113
Bitterroot,1984-06-01,1984-06-30,88.24720600247383
Gallatin,1984-06-01,1984-06-30,69.96330449730158
Paradise Valley,1984-06-01,1984-06-30,69.96330449730158
Bitterroot,1984-07-01,1984-07-31,18.65973164141178
Gallatin,1984-07-01,1984-07-31,42.074568554759026
Paradise Valley,1984-07-01,1984-07-31,47.51450511068106
Bitterroot,1984-08-01,1984-08-31,39.349391762167215
Gallatin,1984-08-01,1984-08-31,50.01542645506561
Paradise Valley,1984-08-01,1984-08-31,50.89061931334436
Bitterroot,1984-09-01,1984-09-30,63.236904323101044
Gallatin,1984-09-01,1984-09-30,43.16079048719257
Paradise Valley,1984-09-01,1984-09-30,58.8856382407248
Bitterroot,1984-10-01,1984-10-31,72.43190472433344
Gallatin,1984-10-01,1984-10-31,36.32577404752374
